# 274,cat274|Краскораспылитель пневматический
 1|Краскораспылитель пневматический с ВЕРХНИМ бачком|274|57315|798|788|777||norow|Краскораспылитель пневматический| MATRIX с ВЕРХНИМ бачком 1.0 л, сменные сопла 1.2, 1.5, 1.8 мм <span class=art>арт. 57315</span>|</span><span class="for">Для нанесения защитных, декоративных, изоляционных покрытий на различные поверхности: пластик, металл, дерево, керамику</span><span class="addt">Применяется при проведении наружных и внутренних отделочных работ, окраске металлоконструкций в автосервисах, нанесении пожаростойких составов.||/img/pic/shmal/small/57315.jpg|/img/pic/shmal/big/57315.jpg
 0|Валик  "Микрофибра" в сборе 180 мм       с рукояткой 6 мм|558|04-1-510|159,00|155,00|151,00|559|
 0|Валик  "Микрофибра" в сборе 240 мм       с рукояткой 6 мм|558|04-1-511|179,00|175,00|171,00|559|
 1|Валики "Микрофибра" сменные             под рукоятку 8 мм|558|        |109,98|106,00|102,00|559|norow|| RemoColor, ворс&nbsp;12&nbsp;мм, &empty;&nbsp;40&nbsp;мм|</span><span class="for">Для водоэмульсионных красок, грунтов, маркерных покрытий, пропиток</span></p><UL><LI>Полиэстер (микроволокно) на тканевой основе, термически зафиксирован на пластиковом корпусе.<LI>Диаметр корпуса <b>40 мм</b>. Высота ворса <b>12 мм</b>.<LI>Обрабатываемые поверхности: гладкие.<LI><b>Под рукоятку с усиленным бюгелем посадочного диаметра 8 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/03-0-825.jpg|/img/pic/shmal/big/03-0-825.jpg
 0|Валик  "Микрофибра" сменный 180 мм      под рукоятку 8 мм|558|03-0-818| 88,00| 85,00| 82,00|559|
 0|Валик  "Микрофибра" сменный 240 мм      под рукоятку 8 мм|558|03-0-825|112,00|109,00|105,00|559|
 1|Рукоятки для валиков с усиленным бюгелем                   |558|multicopy282  |45,00|42,00|40,00|559|norow|| посадочного диаметра&nbsp;8&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/07-0-018.jpg|/img/pic/shmal/big/07-0-018.jpg
 0|Рукоятка на 180 мм, &empty; 8 мм оцинкованная,   HOBBI     |558|07-0-180      |72,00|70,00|69,00|559|
 0|Рукоятка на 250 мм, &empty; 8 мм оцинкованная,   HOBBI     |558|07-0-250      |79,00|77,00|75,00|559|
 1|Рукоятки для валиков (бюгели)                              |558|              |32,00|31,00|29,00|559|norow|| посадочного диаметра&nbsp;6&nbsp;мм, MATRIX|</span></p><UL><LI>Стержень рукоятки оцинкован для защиты от коррозии.<LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81215.jpg|/img/pic/shmal/big/81215.jpg
 0|Рукоятка на 180 мм, &empty; 6 мм оцинкованная,   MATRIX    |558|81215         |59,00|57,00|55,00|559|
 0|Рукоятка на 250 мм, &empty; 6 мм оцинкованная,   MATRIX    |558|81217         |67,00|65,00|63,00|559|
 1|Рукоятки (бюгели) для мини- и миди-валиков                 |558|              |23,00|22,00|21,00|559|norow|| посадочного диаметра&nbsp;6&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка из ударопрочной пластмассы, с отверстием для подвешивания, имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81211.jpg|/img/pic/shmal/big/81211.jpg
 0|Рукоятка на 50 - 70 мм, &empty; 6 мм никелированная, HOBBI |558|07-1-050      |31,00|30,00|29,00|559|
 0|Рукоятка на 100 - 150 мм, &empty; 6 мм, оцинкованная, HOBBI|558|07-1-090      |34,00|33,00|32,00|559|
 0|Рукоятка на 100-150мм удлинённая, &empty; 6 мм, цинк, HOBBI|558|07-1-091      |39,00|37,00|36,00|559|

# 143,cat143 -># 524,cat524|Валики поролоновые !Для ЛКМ на водной и масляной основе
 1|Валики поролоновые &empty; 48 мм в сборе с рукояткой 6 мм|143|        |109,98|106,00|102,00|524|norow|||</span><span class="for">Для ЛКМ на водной и масляной основе</span></p><UL><LI>Полиэстр пенный.<LI>Диаметр корпуса <b>40 мм</b>.<LI>Обрабатываемые поверхности: гладкие.<LI>Рукоятка с бюгелем посадочного диаметра <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/04-2-102.jpg|/img/pic/shmal/big/04-2-102.jpg
 0|Валики поролоновый 100 мм, &empty; 48 мм с рукояткой 6 мм|143|04-2-103| 93,00| 90,00| 88,00|524|
 0|Валики поролоновый 150 мм, &empty; 48 мм с рукояткой 6 мм|143|04-2-100| 98,00| 94,00| 91,00|524|
 0|Валики поролоновый 200 мм, &empty; 48 мм с рукояткой 6 мм|143|04-2-101|112,00|108,00|104,00|524|
 0|Валики поролоновый 250 мм, &empty; 48 мм с рукояткой 6 мм|143|04-2-102|122,00|118,00|114,00|524|

# 70,cat70 -># 522,cat522|Валики Полиамид! Валики для акриловых красок !Профессиональные валики Gepardakryl, Mikroakryl (HARDY) !Для акриловых ЛКМ, побелок, глазурей, грунтов
 1|Валики "Мультиколор" в сборе             с рукояткой 6 мм|70|        |109,98|106,00|102,00|522|norow|| RemoColor, ворс&nbsp;12&nbsp;мм, &empty;&nbsp;40&nbsp;мм|</span><span class="for">Для всех типов лакокрасочных материалов</span></p><UL><LI>Полиамид на тканевой основе (крученая нить), наклеен на пластиковый корпус.<LI>Диаметр корпуса <b>40 мм</b>. Высота ворса <b>12 мм</b>.<LI>Обрабатываемые поверхности: гладкие и шероховатые.<LI>Под рукоятку с бюгелем посадочного диаметра <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/04-0-603.jpg|/img/pic/shmal/big/04-0-603.jpg
 0|Валик  "Мультиколор" в сборе 180 мм      с рукояткой 6 мм|70|04-0-603|130,00|127,00|124,00|522|
 0|Валик  "Мультиколор" в сборе 240 мм      с рукояткой 6 мм|70|04-0-604|159,00|155,00|151,00|522|
 1|Валики "Мультиколор"  сменные           под рукоятку 8 мм|70|        |109,98|106,00|102,00|522|norow|| RemoColor, ворс&nbsp;12&nbsp;мм, &empty;&nbsp;40&nbsp;мм|</span><span class="for">Для всех типов лакокрасочных материалов</span></p><UL><LI>Полиамид на тканевой основе (крученая нить), наклеен на пластиковый корпус.<LI>Диаметр корпуса <b>40 мм</b>. Высота ворса <b>12 мм</b>.<LI>Обрабатываемые поверхности: гладкие и шероховатые.<LI>><b>Под рукоятку с усиленным бюгелем посадочного диаметра 8 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/03-0-603.jpg|/img/pic/shmal/big/03-0-603.jpg
 0|Валик  "Мультиколор"  сменный 180 мм    под рукоятку 8 мм|70|03-0-603| 85,00| 82,00| 79,00|522|
 0|Валик  "Мультиколор"  сменный 240 мм    под рукоятку 8 мм|70|03-0-604|105,00|102,00| 99,00|522|
 1|Валики "Мультиколор" сменные (мини-ролики) под рук.  6 мм|70|        | 54,00| 54,00| 54,00|522|norow|| RemoColor, ворс 12 мм, &empty; 15 мм|</span><span class="for">Для всех типов лакокрасочных материалов на масляной и водной основе</span></p><UL><LI>Полиамид на тканевой основе (крученая нить), термически зафиксирован.<LI>Диаметр корпуса <b>15 мм</b>. Высота ворса <b>12 мм</b>.<LI>Обрабатываемые поверхности: гладкие и шероховатые.<LI>Под рукоятку с бюгелем посадочного диаметра <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/06-1-606.jpg|/img/pic/shmal/big/06-1-606.jpg
 0|Валик  "Мультиколор" сменный &numsp;55 мм  под рук.  6 мм|70|06-1-606| 24,00| 23,00| 22,00|522|
 0|Валик  "Мультиколор" сменный       100 мм  под рук.  6 мм|70|06-1-607| 35,00| 34,00| 33,00|522|
 1|Рукоятки для валиков с усиленным бюгелем                   |70|multicopy282  |45,00|42,00|40,00|522|norow|| посадочного диаметра&nbsp;8&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/07-0-018.jpg|/img/pic/shmal/big/07-0-018.jpg
 0|Рукоятка на 180 мм, &empty; 8 мм оцинкованная,   HOBBI     |70|07-0-180      |72,00|70,00|69,00|522|
 0|Рукоятка на 250 мм, &empty; 8 мм оцинкованная,   HOBBI     |70|07-0-250      |79,00|77,00|75,00|522|
 1|Рукоятки для валиков (бюгели)                              |70|              |32,00|31,00|29,00|522|norow|| посадочного диаметра&nbsp;6&nbsp;мм, MATRIX|</span></p><UL><LI>Стержень рукоятки оцинкован для защиты от коррозии.<LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81215.jpg|/img/pic/shmal/big/81215.jpg
 0|Рукоятка на 180 мм, &empty; 6 мм оцинкованная,   MATRIX    |70|81215         |59,00|57,00|55,00|522|
 0|Рукоятка на 250 мм, &empty; 6 мм оцинкованная,   MATRIX    |70|81217         |67,00|65,00|63,00|522|
 1|Рукоятки (бюгели) для мини- и миди-валиков                 |70|              |23,00|22,00|21,00|522|norow|| посадочного диаметра&nbsp;6&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка из ударопрочной пластмассы, с отверстием для подвешивания, имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81211.jpg|/img/pic/shmal/big/81211.jpg
 0|Рукоятка на 50 - 70 мм, &empty; 6 мм никелированная, HOBBI |70|07-1-050      |31,00|30,00|29,00|522|
 0|Рукоятка на 100 - 150 мм, &empty; 6 мм, оцинкованная, HOBBI|70|07-1-090      |34,00|33,00|32,00|522|
 0|Рукоятка на 100-150мм удлинённая, &empty; 6 мм, цинк, HOBBI|70|07-1-091      |39,00|37,00|36,00|522|

# 144,cat144 -># 525,cat525|Валики ВЕЛЮРОВЫЕ, ворс 4 мм HARDY (Польша) !Для любых лакировочных и малярных работ ???масляных красок, лаков и эмульсий
 1|Валики малярные                                              |144|            | 58,00| 54,00| 52,00|525|norow|| "Велюр" с рукояткой 6 мм, ворс 5 мм, &empty; 36 мм|</span><span class="for">Для нанесения лаков на водной основе, лаков на основе натуральной смолы</span></p><UL><LI>Термовплавленная шубка не отслаивается от основания валика при многократном и интенсивном использовании.<LI>Бесшовная структура шубки позволяет равномерно наносить краску.<LI>Обработанные края ролика не оставляют следов по бокам в процессе окрашивания.<LI>Быстросменная система позволяет использовать ручку с различными видами валиков, а также проводить очистку валиков без ручки.<LI>Фланцы, приваренные ультразвуком при многократной процедуре снятия/монтажа валика гарантируют сохранность и целостность конструкции.<LI>Свободное вращение ролика обеспечивает максимальную отдачу краски на поверхность.<LI>Оцинкованный бюгель 6 мм надежно защищает инструмент от коррозии.</UL><p><span class="addt">||/img/pic/shmal/small/80132.jpg|/img/pic/shmal/big/80132.jpg
 0|Валик "Велюр" 100 мм, &empty;36 мм, &empty; бюгеля 6 мм      |144|80132       | 69,00| 67,00| 65,00|525
 0|Валик "Велюр" 150 мм, &empty;36 мм, &empty; бюгеля 6 мм      |144|80133       | 77,00| 75,00| 73,00|525
 0|Валик "Велюр" 200 мм, &empty;36 мм, &empty; бюгеля 6 мм      |144|80134       | 88,00| 86,00| 84,00|525
 0|Валик "Велюр" 240 мм, &empty;36 мм, &empty; бюгеля 6 мм      |144|80135       | 98,00| 96,00| 94,00|525
#1|Валики малярные                                              |144|            | 58,00| 54,00| 52,00|525|norow|| "Велюр" с рукояткой, ворс 4 мм|</span><span class="for">Для любых лакировочных и малярных работ</span></p><UL><LI>Применяются для окраски гладких поверхностей при проведении отделочных работ высокого качества.<LI>Шубка: Полиэстер 100 %, наклеена на пластиковый корпус.<LI>Впитывают небольшое количество краски и не скатываются, поэтому исключают разбрызгивание, возникновение «боков» и потеков.<LI>Однородная структура и ворс небольшой длины равномерно распределяют лакокрасочный материал по обрабатываемой поверхности, создавая тонкую структуру покрытия.<LI>Отличаются долговечностью, устойчивы к действию растворителей.</UL><p><span class="addt">||/img/pic/shmal/small/04-2-303.jpg|/img/pic/shmal/big/04-2-303.jpg
#0|Валик "Велюр" 100 мм, &empty;40 мм, &empty; бюгеля 6 мм      |144|04-2-303    | 67,85| 64,40| 62,10|525
#0|Валик "Велюр" 140 мм, &empty;40 мм, &empty; бюгеля 6 мм      |144|04-2-304    | 74,75| 72,45| 70,15|525
#0|Валик "Велюр" 200 мм, &empty;40 мм, &empty; бюгеля 6 мм      |144|04-2-305    | 85,10| 81,65| 78,20|525
#0|Валик "Велюр" 250 мм, &empty;40 мм, &empty; бюгеля 6 мм      |144|04-2-306    | 94,30| 90,85| 88,55|525
 1|Валик велюровый Velur 150 мм сменный, &empty;30 мм, ворс 4 мм|144|            | 58,00| 54,00| 52,00|525|norow sale1|| HARDY (Польша) <span class="art">арт. 0120-38.3015</span>|</span><span class="for">Для любых лакировочных и малярных работ</span></p><UL><LI>Применяются для окраски гладких поверхностей при проведении отделочных работ высокого качества.<LI>Впитывают небольшое количество краски и не скатываются, поэтому исключают разбрызгивание, возникновение «боков» и потеков.<LI>Однородная структура и ворс небольшой длины равномерно распределяют лакокрасочный материал по обрабатываемой поверхности, создавая тонкую структуру покрытия.<LI>Отличаются долговечностью, устойчивы к действию растворителей.</UL><p><span class="addt">||/img/pic/shmal/small/0110-3848.jpg|/img/pic/shmal/big/0110-3848.jpg
#0|Валик Velur 100 мм сменный, &empty;30 мм, &empty; бюгеля 6 мм|144|0120-38.3010| 69,00| 66,00| 63,00|525
 0|Валик Velur 150 мм сменный, &empty;30 мм, &empty; бюгеля 6 мм|144|0120-38.3015| 99,00| 99,00| 99,00|525
#0|Валик Velur 180 мм сменный, &empty;48 мм, &empty; бюгеля 8 мм|144|0110-38.4818|168,00|164,00|161,00|525
#0|Валик Velur 250 мм сменный, &empty;48 мм, &empty; бюгеля 8 мм|144|0110-38.4825|258,00|252,00|247,00|525
#0|Валик Velur 250 мм сменный, &empty;55 мм, &empty; бюгеля 8 мм|144|0110-38.5525|298,00|292,00|286,00|525
 1|Валики велюровые Velurplus 4 сменные ПРОФИ, ворс 4 мм, ОВЧИНА|144|            |159,00|154,00|149,00|525|norow sale1|| HARDY (Польша)|</span><span class="for">Для любых лакокрасочных изделий с высокой плотностью, содержащих агрессивные растворители, например эпоксидные краски и лаки с синтетической смолой</span></p><UL><LI>Валик с тканой шубкой с коротким ворсом из овечьей шерсти, применяется для окраски гладких поверхностей при проведении отделочных работ высокого качества. Специфика структуры овечьей шерсти обеспечивает исключительную гладкость поверхности.<LI>Впитывает небольшое количество краски и не скатывается, поэтому исключает разбрызгивание, возникновение «боков» и потеков.<LI>Однородная структура и ворс небольшой длины равномерно распределяют лакокрасочный материал по обрабатываемой поверхности, создавая тонкую структуру покрытия.<LI>Отличается долговечностью, устойчив к действию растворителей.</UL><p><span class="addt">||/img/pic/shmal/small/0110-344818.jpg|/img/pic/shmal/big/0110-344818.jpg
#0|Валик Velurplus 100мм сменный, &empty;30мм, &empty;бюгеля 6мм|144|0120-34.3010| 98,00| 95,00| 92,00|525
 0|Валик Velurplus 150мм сменный, &empty;30мм, &empty;бюгеля 6мм|144|0120-34.3015|148,00|148,00|148,00|525
#0|Валик Velurplus 250мм сменный, &empty;48мм, &empty;бюгеля 8мм|144|0110-34.4825|239,00|235,00|231,00|525|red
 1|Рукоятки для валиков с усиленным бюгелем                   |144|multicopy282  |45,00|42,00|40,00|525|norow|| посадочного диаметра&nbsp;8&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/07-0-018.jpg|/img/pic/shmal/big/07-0-018.jpg
 0|Рукоятка на 180 мм, &empty; 8 мм оцинкованная,   HOBBI     |144|07-0-180      |72,00|70,00|69,00|525|
 0|Рукоятка на 250 мм, &empty; 8 мм оцинкованная,   HOBBI     |144|07-0-250      |79,00|77,00|75,00|525|
 1|Рукоятки для валиков (бюгели)                              |144|              |32,00|31,00|29,00|525|norow|| посадочного диаметра&nbsp;6&nbsp;мм, MATRIX|</span></p><UL><LI>Стержень рукоятки оцинкован для защиты от коррозии.<LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81215.jpg|/img/pic/shmal/big/81215.jpg
 0|Рукоятка на 180 мм, &empty; 6 мм оцинкованная,   MATRIX    |144|81215         |59,00|57,00|55,00|525|
 0|Рукоятка на 250 мм, &empty; 6 мм оцинкованная,   MATRIX    |144|81217         |67,00|65,00|63,00|525|
 1|Рукоятки (бюгели) для мини- и миди-валиков                 |144|              |23,00|22,00|21,00|525|norow|| посадочного диаметра&nbsp;6&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка из ударопрочной пластмассы, с отверстием для подвешивания, имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81211.jpg|/img/pic/shmal/big/81211.jpg
 0|Рукоятка на 50 - 70 мм, &empty; 6 мм никелированная, HOBBI |144|07-1-050      |31,00|30,00|29,00|525|
 0|Рукоятка на 100 - 150 мм, &empty; 6 мм, оцинкованная, HOBBI|144|07-1-090      |34,00|33,00|32,00|525|
 0|Рукоятка на 100-150мм удлинённая, &empty; 6 мм, цинк, HOBBI|144|07-1-091      |39,00|37,00|36,00|525|
#0|Валик велюровый 100 мм           |144|80132 | 49,00| 46,00| 44,00|525
#0|Валик велюровый 140 мм           |144|80133 | 57,00| 53,00| 51,00|525
#0|Валик велюровый 240 мм           |144|80135 | 72,00| 68,00| 65,00|525
#1|Мини-валик сменный                    |144|80615 |14|14|13||norow|Мини-валик сменный| MATRIX|ВЕЛЮР, 75 мм, ворс 4 мм, &empty;&nbsp;15 мм, &empty;&nbsp;рукоятки - 6 мм.<br>50% овечьей шерсти, 50% полиакрила.||/img/pic/shmal/small/mini-val.jpg|/img/pic/shmal/big/jpg
#0|Мини-валик сменный                    |144|80615 |16|15|14||
#1|Валик велюровый белый 100 мм          |144|VV-100|47|45|43|||Валик велюровый| белый (без шва)|||/img/pic/shmal/small/VV-100.jpg|/img/pic/shmal/big/jpg
#0|Валик велюровый белый 200 мм          |144|VV-200|54|52|48|
#0|Валик велюровый белый 250 мм          |144|VV-250|59|57|55|

# 111,cat111 -># 54,cat54|Профессиональные универсальные валики ПОРОЛОН/ФЛОК (Hardy) !Различного назначения ???Для лаков акриловых и на основе растворителей ???масляных красок
 1|Валик Moltopren                                                      |111|             | 48,00| 45,00| 42,00|54|norow sale1|Профессиональные универсальные валики супермелкие| Moltopren (поролон / флок) белые (HARDY, Польша)|</span><span class="for">Для лаков акриловых (на водной основе) и на основе растворителей</span></p><UL><LI>Диаметр валика <b>70 мм</b>.<LI>Изготовлен из вспененного полиэстра (пена полиэстровая) плотностью <b>35 кг/куб.м</b>.<LI><b>Сменные валики</b> под рукоятку с <b>усиленным бюгелем</b> посадочного диаметра <b>8 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/0110-007018.jpg|/img/pic/shmal/big/0110-007018.jpg
#0|Валик Moltopren 180 мм сменный супермелкий,  &empty;70 / 8 мм        |111|0110-00.70.18|188,00|184,00|181,00|54
 0|Валик Moltopren 250 мм сменный супермелкий,  &empty;70 / 8 мм        |111|0110-00.70.25|288,00|288,00|288,00|54
 1|Валик Moltopren                                                      |111|             |169,00|163,00|159,00|54|norow sale1|Профессиональные универсальные валики экстрамелкие| Moltopren (поролон / флок) белые (HARDY, Польша)|</span><span class="for">Для лаков акриловых (на водной основе) и на основе растворителей</span></p><UL><LI>Диаметр валика <b>35 мм</b>.<LI>Изготовлен из вспененного полиэстра (пена полиэстровая) плотностью <b>55 кг/куб.м</b>.<LI>Диаметр оси бюгеля <b>6 мм</b>.<LI><b>В комплекте с каждым валиком с рукояткой поставляется ещё один такой же сменный.</b></UL><p><span class="addt">||/img/pic/shmal/small/moltopren.jpg|/img/pic/shmal/big/moltopren.jpg
 0|Валик Moltopren 100 мм с ручкой + сменный, &empty;35 мм, бюгель 6 мм |111|0124-02.35.10|245,00|245,00|245,00|54
#0|Валик Moltopren 100 мм сменный,  &empty;35 мм, бюгель 6 мм, уп. 2 шт.|111|0123-02.35.10| 99,00| 97,00| 95,00|54
#1|Валик Moltopren                                                      |111|             | 39,95| 38,95| 37,98|54|norow sale1|Профессиональные универсальные валики экстрамелкие| Moltopren (поролон / флок) белые (HARDY, Польша)|</span><span class="for">Для лаков акриловых (на водной основе) и на основе растворителей</span></p><UL><LI>Диаметр валика <b>35 мм</b>.<LI>Изготовлен из вспененного полиэстра (пена полиэстровая) плотностью <b>55 кг/куб.м</b>.<LI>Диаметр оси бюгеля <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/0120-025010.jpg|/img/pic/shmal/big/0120-025010.jpg
#0|Валик Moltopren 100 мм сменный экстрамелкий, &empty;35 / 6 мм        |111|0120-02.35.10| 55,00| 53,00| 52,00|54
#0|Валик Moltopren 150 мм сменный экстрамелкий, &empty;35 / 6 мм        |111|0120-02.35.15| 43,95| 42,00| 40,00|54
 1|Валик Moltopren                                                      |111|             | 48,00| 45,00| 42,00|54|norow sale1|Профессиональные универсальные валики супермелкие| Moltopren (поролон / флок) белые (HARDY, Польша)|</span><span class="for">Для лаков акриловых (на водной основе) и на основе растворителей</span></p><UL><LI>Диаметр валика <b>50 мм</b>.<LI>Изготовлен из вспененного полиэстра (пена полиэстровая) плотностью <b>35 кг/куб.м</b>.<LI>Диаметр оси бюгеля <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/0120-005010.jpg|/img/pic/shmal/big/0120-005010.jpg
 0|Валик Moltopren 100 мм сменный супермелкий,  &empty;50 / 6 мм        |111|0120-00.50.10| 98,00| 98,00| 98,00|54
 0|Валик Moltopren 150 мм сменный супермелкий,  &empty;50 / 6 мм        |111|0120-00.50.15| 98,00| 98,00| 98,00|54
#1|Валик Moltoflok                                                      |111|             |208,00|204,00|196,00|54| norow|Профессиональные универсальные валики| Moltoflok (поролон / флок) желтые (HARDY, Польша)|</span><span class="for">Для лаков акриловых (на водной основе) и на основе растворителей</span></p><UL><LI>Диаметр валика <b>35 мм</b>.<LI>Диаметр оси бюгеля <b>6 мм</b>.<LI><b>В комплекте с каждым валиком с рукояткой поставляется ещё один такой же сменный.</b></UL><p><span class="addt">||/img/pic/shmal/small/0124-06.jpg|/img/pic/shmal/big/0124-06.jpg
#0|Валик Moltoflok 100 мм с ручкой + сменный, &empty;35 мм, бюгель 6 мм |111|0124-06.35.10|208,00|204,00|196,00|54
#0|Валик Moltoflok 150 мм сменный,  &empty;35 мм, бюгель 6 мм, уп. 2 шт.|111|0123-06.35.15|165,00|161,00|157,00|54
#1|Валик Moltoflok                                                      |111|             |104,00|101,00| 98,00|54| norow|Профессиональные универсальные валики| Moltoflok (поролон / флок) красные (HARDY, Польша)|</span><span class="for">Для масляных красок</span></p><UL><LI>Диаметр валика <b>52 мм</b>.<LI>Для рукоятки с диаметром оси <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/0120-06n.jpg|/img/pic/shmal/big/0120-06n.jpg
#0|Валик Moltoflok 100 мм сменный,  &empty;52 мм, &empty; бюгеля 6 мм   |111|0120-07.50.10|115,00|112,00|108,00|54
#0|Валик Moltoflok 180 мм сменный,  &empty;52 мм, &empty; бюгеля 6 мм   |111|0120-07.50.18|158,00|155,00|152,00|54
 1|Рукоятки для валиков с усиленным бюгелем                   |111|multicopy282  |45,00|42,00|40,00|54|norow|| посадочного диаметра&nbsp;8&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/07-0-018.jpg|/img/pic/shmal/big/07-0-018.jpg
 0|Рукоятка на 180 мм, &empty; 8 мм оцинкованная,   HOBBI     |111|07-0-180      |72,00|70,00|69,00|54|
 0|Рукоятка на 250 мм, &empty; 8 мм оцинкованная,   HOBBI     |111|07-0-250      |79,00|77,00|75,00|54|
 1|Рукоятки для валиков (бюгели)                              |111|              |32,00|31,00|29,00|54|norow|| посадочного диаметра&nbsp;6&nbsp;мм, MATRIX|</span></p><UL><LI>Стержень рукоятки оцинкован для защиты от коррозии.<LI>Ручка инструмента с отверстием для подвешивания произведена из ударопрочной пластмассы и имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81215.jpg|/img/pic/shmal/big/81215.jpg
 0|Рукоятка на 180 мм, &empty; 6 мм оцинкованная,   MATRIX    |111|81215         |59,00|57,00|55,00|54|
 0|Рукоятка на 250 мм, &empty; 6 мм оцинкованная,   MATRIX    |111|81217         |67,00|65,00|63,00|54|
 1|Рукоятки (бюгели) для мини- и миди-валиков                 |111|              |23,00|22,00|21,00|54|norow|| посадочного диаметра&nbsp;6&nbsp;мм, HOBBI |</span></p><UL><LI>Ручка из ударопрочной пластмассы, с отверстием для подвешивания, имеет эргономичную форму.<LI>Внутренняя полость ручки предназначена для использования телескопического стержня.</UL><p><span class="addt">||/img/pic/shmal/small/81211.jpg|/img/pic/shmal/big/81211.jpg
 0|Рукоятка на 50 - 70 мм, &empty; 6 мм никелированная, HOBBI |111|07-1-050      |31,00|30,00|29,00|54|
 0|Рукоятка на 100 - 150 мм, &empty; 6 мм, оцинкованная, HOBBI|111|07-1-090      |34,00|33,00|32,00|54|
 0|Рукоятка на 100-150мм удлинённая, &empty; 6 мм, цинк, HOBBI|111|07-1-091      |39,00|37,00|36,00|54|

# 501,cat501 -># 520,cat520|Валики сменные "Нейлон" !Pro Line !Для всех типов ЛКМ
 1|Валик 100 мм, ворс 12 мм, D 15 мм, в сборе  с рукояткой 6 мм |501|06-0-614 | 54,00| 52,00| 49,00|520|norow|| "Нейлон" <span class="art">арт. 06-0-614</span>|<span class="for">Для внутренних и наружных работ</span></p><UL><LI>Применяется для работы со всеми типами ЛКМ на гладких и шероховатых поверхностях.<LI>Нейлон на тканевой основе (распушенная нить).<LI>Шубка зафиксирована на пластиковом корпусе термически.<LI>Рукоятка с бюгелем посадочного диаметра <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/06-0-614.jpg|/img/pic/shmal/big/06-0-614.jpg
 0|Валик "Нейлон" 100 мм, ворс 12 мм, D 15 мм, с рукояткой 6 мм |501|06-0-614 | 58,00| 56,00| 54,00|520|
 1|Валики                                                       |501|         | 54,00| 52,00| 49,00|520|norow|| "Нейлон", ворс 12 мм, D 40 мм, с рукояткой 6 мм|<span class="for">Для внутренних и наружных работ</span></p><UL><LI>Применяются для работы со всеми типами ЛКМ на гладких и шероховатых поверхностях.<LI>Нейлон на тканевой основе (распушенная нить).<LI>Шубка зафиксирована на пластиковом корпусе термически.<LI>Рукоятка с бюгелем посадочного диаметра <b>6 мм</b>.</UL><p><span class="addt">||/img/pic/shmal/small/04-0-400.jpg|/img/pic/shmal/big/04-0-400.jpg
