# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
#0|Киянка, черная резина, 450 г MATRIX     |140|11185   |215|205|198||
#1|Киянка, черная резина, 450 г            |140|KIB45|215|205|198||norow|Киянки резиновые| с фиберглассовой обрезиненной рукояткой|||/img/pic/instr/small/KIJANKA.jpg|/img/pic/instr/big/KIJANKA.jpg
#0|Киянка, черная резина, 450 г            |140|KIB45|215|205|198||
#0|Киянка, черная резина, 680 г            |140|KIB68|245|230|215|
#1|Киянка с фиберглассовой рукояткой  450 г|140|KIF450|135|125|120||Киянки резиновые| с фиберглассовой обрезиненной рукояткой|||/img/pic/instr/small/KIJANKA.jpg|/img/pic/instr/big/KIJANKA.jpg
#0|Киянка с фиберглассовой рукояткой  680 г|140|KIF680|165|155|150
#1|Киянка с металлической обрезиненной рукояткой|       140|116629|177|165|155|||, КФ-116629, 900 г, 80 мм <span class=art>арт. 116629</span>|||/img/pic/instr/small/kijanka_kf.jpg|/img/pic/instr/big/jpg

# 58,cat58|Ножовка по металлу
 1|Ножовка по металлу             300 мм              |58|N.300   | 149,00| 144,00| 141,00||norow|| СТАНДАРТ <span class=art>арт. N.300</span>|Пластмассовая рукоятка||/img/pic/instr/small/Nozovka po metallu 300 plasm puchka.jpg|/img/pic/instr/big/Nozovka po metallu 300 plasm puchka.jpg
 0|Ножовка по металлу 300 мм СТАНДАРТ                 |58|N.300   | 149,00| 144,00| 141,00
#1|Ножовка по металлу             300 мм              |58|77600   |1095,00|1045,00| 998,00||norow ltd one|| GROSS "Piranha" <span class=art>арт. 77600</span>|24 TPI, обрезиненная рукоятка, захват, биметаллическое полотно.||/img/pic/instr/small/Nozovka po metallu 300 PIRANHA.jpg|/img/pic/instr/big/Nozovka po metallu 300 PIRANHA.jpg
#0|Ножовка по металлу 300 мм GROSS "Piranha"          |58|77600   |1095,00|1045,00| 998,00
 1|Ножовка по металлу             300 мм              |58|42-1-005| 398,00| 392,00| 375,00||norow|| HARDAX "Classic" усиленная <span class=art>арт. 42-1-005</span>|</span></p><UL><LI>Упрочненная стальная рама.<LI>Рукоятка с резиновой накладкой.<LI>Возможна установка полотна под углом 55 или 90 градусов.<LI>В комплекте полотно из быстрорежущей стали.</UL><p><span class="addt">||/img/pic/instr/small/Ha42-1-005.jpg|/img/pic/instr/big/jpg
 0|Ножовка по металлу 300 мм HARDAX "Classic"         |58|42-1-005| 398,00| 392,00| 375,00
#1|Ножовка по металлу             300 мм              |58|77593   | 395,00| 375,00| 365,00||norow ltd one|| MATRIX, биметаллическое полотно, двухкомпонентная рукоятка <span class=art>арт. 77593</span>|</span></p><UL><LI>Ножовка имеет обрезиненную рукоятку эргономичной формы.<LI>Рычажно-винтовой механизм натяжения полотна позволяет быстро произвести замену.<LI>Конструкция рамки ножовки позволяет устанавливать полотно под углом 55° и 90°.<LI>В корпусе рамки ножовки расположено место для хранения 5 полотен.</UL><p><span class="addt">||/img/pic/instr/small/m77593.png|/img/pic/instr/big/jpg
#0|Ножовка по металлу 300 мм MATRIX                   |58|77593   | 395,00| 375,00| 365,00
 1|Полотно для ножовки по металлу                     |58|42-0-005|  85,00|  82,00|  78,00||norow|| 300&nbsp;мм HARDAX, биметаллическое, из инструментальной стали <span class=art>арт. 42-0-005</span>|||/img/pic/instr/small/Ha42-0-005.png|/img/pic/instr/big/jpg
 0|Полотно для ножовки по металлу 300 мм HARDAX, 1 шт.|58|42-0-005|  85,00|  82,00|  78,00
 1|Полотно для ножовки по металлу                     |58|6620-24 |  98,98|  97,00|  94,00||norow|| 300&nbsp;мм MPS, HSS биметаллическое&nbsp;/<span class="blue">&nbsp;легир.сталь "Flex Universal",</span> 24TPI <span class=art>арт. 6620-24</span></span>|||/img/pic/instr/small/6620-24.jpg|/img/pic/instr/big/jpg
 0|Полотно по металлу 300 мм MPS HSS-Bi-Metall, 1 шт. |58|6620-24 |  98,98|  97,00|  94,00
 0|Полотно по металлу 300 мм MPS "Flex Universal", 1шт|58|6605-24 |  49,95|  48,00|  47,00
 1|Полотна для ножовок по металлу                     |58|477709  |  44,98|  43,45|  42,98||norow|| 300&nbsp;мм из углеродистой стали|<br><b>Цена за упаковку.</b>||/img/pic/instr/small/Ho42-0-012.png|/img/pic/instr/big/jpg
 0|Полотна для ножовки по металлу 300 мм RUNEX, 2 шт. |58|477709  |  44,98|  43,45|  42,98
#1|Полотна для ножовки по металлу 300 мм              |58|77719   |129|125|122||norow|| GROSS "Carbon", высокоуглеродистая сталь <span class="art">арт. 77719</span>|<br><b>Упаковка 2 шт. Цена за упаковку.</b>||/img/pic/instr/small/GROSS POLOTNO GERM.jpg|/img/pic/instr/big/GROSS POLOTNO GERM.jpg
#0|Полотна по металлу 300 мм GROSS, 24 TPI, 2 шт.     |58|77719   |139|133|131
#0|Полотна по металлу 300 мм GROSS, 32 TPI, 2 шт.     |58|77718   |139|133|131
#0|Полотна по металлу 300 мм GROSS, 18 TPI, 2 шт.     |58|77720   |129|125|122
#1|Полотно для ножовки по металлу                     |58|77772   |109|102| 99||norow|| 300&nbsp;мм MATRIX, биметаллическое, 24TPI <span class=art>арт. 77772</span></span>|Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/77772.jpg|/img/pic/instr/big/jpg
#0|Полотно по металлу 300 мм MATRIX, биметалл.,  2 шт.|58|77772   |109|102| 99
#0|Полотна для ножовки по металлу 300 мм HOBBI, 12 шт.|58|42-0-012|129|125|122
#0|Полотна для ножовки по металлу 300 мм SPARTA,12 шт.|58|777405  |129|125|122
#1|Полотно для ножовки по металлу                     |58|42-0-012|148|142|140||norow|| 300&nbsp;мм HOBBI, из углеродистой стали <span class=art>арт. 42-0-012</span>|<br><b>Упаковка 12 шт. Цена за упаковку.</b>||/img/pic/instr/small/Ho42-0-012.png|/img/pic/instr/big/jpg
#1|Полотно для ножовки по металлу                     |58|777405  |148|142|135||norow|| 300&nbsp;мм SPARTA, биметаллическое, из инструментальной стали <span class=art>арт. 777405</span>|</span></p><UL><LI>Полотно универсальное, предназначено для резки различных металлических профилей.<LI>Зубья закалены. Количество зубьев на дюйм – 24.</UL><p><span class="addt"><b>Упаковка 12 шт. Цена за упаковку.</b>||/img/pic/instr/small/s777405.png|/img/pic/instr/big/jpg
#1|Полотно для ножовки по металлу                     |58|477709  | 49| 46| 44||norow|| 300&nbsp;мм RUNEX, биметаллическое, 24TPI <span class=art>арт. 477709</span></span>|</span></p><UL><LI>Полотно из пружинной стали.<LI>Зубцы из быстрорежущей стали.</UL><p><span class="addt"><b>Упаковка 2 шт. Цена за упаковку.</b>||/img/pic/instr/small/477709.jpg|/img/pic/instr/big/jpg
#1|Полотно для ножовки по металлу|58|77731   |195|188|184|||| 300&nbsp;мм GROSS, биметаллическое, переменный зуб VARIOZAHN-BiM <span class=art>арт. 77731</span>|Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/Polotno GROSS VARIOZAHN.jpg|/img/pic/instr/big/Polotno GROSS VARIOZAHN.jpg
#1|Полотно для ножовки по металлу|58||85|75|72||| 300&nbsp;мм GROSS, высокоуглеродистая сталь, 18 TPI <span class=art>арт. 77720</span>|Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/GROSS POLOTNO GERM.jpg|/img/pic/instr/big/GROSS POLOTNO GERM.jpg
#1|Полотно для ножовки по металлу|58||85|75|72||| 300&nbsp;мм MATRIX, биметаллическое, 24TPI <span class=art>арт. 77772</span></span>|Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/77772.jpg|/img/pic/instr/big/jpg
#1|Полотно для ножовки по металлу|58||135|125|115||| 300&nbsp;мм У7 <span class=art>арт. 77764</span>|Упаковка 12 шт. Цена за упаковку.||/img/pic/instr/small/Polotno Dla NoJOVOK po metallu  (12).jpg|/img/pic/instr/big/Polotno Dla NoJOVOK po metallu  (12).jpg
#1|Полотно для ножовки по металлу|58||77|-||| 300&nbsp;мм GROSS, биметаллическое <span class=art>арт. 77782</span></span>|Упаковка 2 шт. Цена за упаковку.||/img/pic/instr/small/Polotno Dla NoJOVOK po metallu BIMETALL (2).jpg|/img/pic/instr/big/Polotno Dla NoJOVOK po metallu BIMETALL (2).jpg

# 128,cat128|Ножовки по дереву
#1|Ножовка по дереву 400 мм, 7-8 TPI                      |128|42-3-740| 169| 164| 161||norow|| "SimplePlas" HOBBI <span class="art">арт. 42-3-740</span>|</span></p><UL><LI>Ножовка изготовлена из инструментальной стали.<LI>Полотно инструмента имеет зуб с трехсторонней (3D) заточкой.<LI>Количество зубьев на дюйм – 7-8.<LI>Пластиковая рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/42-3-740.jpg|/img/pic/instr/big/42-3-740.jpg
 1|Ножовки по дереву, 7-8 TPI                             |128|42-3-740| 169| 164| 161||norow|| "SimplePlas" HOBBI|</span></p><UL><LI>Ножовка изготовлена из инструментальной стали.<LI>Полотно инструмента имеет зуб с трехсторонней (3D) заточкой.<LI>Количество зубьев на дюйм – 7-8.<LI>Пластиковая рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/42-3-740.jpg|/img/pic/instr/big/42-3-740.jpg
 0|Ножовка по дереву 400 мм, 7-8 TPI "SimplePlas" HOBBI   |128|42-3-740| 169| 164| 161|
 0|Ножовка по дереву 450 мм, 7-8 TPI "SimplePlas" HOBBI   |128|42-3-745| 189| 183| 179|
 0|Ножовка по дереву 500 мм, 7-8 TPI "SimplePlas" HOBBI   |128|42-3-750| 198| 192| 187|
 1|Ножовка по дереву HARDAX Wood Line, 400 мм, 7-8 TPI    |128|42-3-440| 378| 372| 364|||Ножовки по дереву| HARDAX "Wood Line"|</span></p><UL><LI>Для пиления заготовок средних размеров из древесины мягких и твердых пород, ДСП, фанеры, ПВХ, пластмассы, ламинированных плит.<LI>Полотно толщиной 1мм изготовлено из высококачественной стали твердостью 55 HRC.<LI>7-8 зубьев на дюйм, зубья универсальные (наклонные) с трехгранной заточкой, закалены по всей высоте.<LI>Эргономичная рукоятка с резиновыми накладками, выполнена из пластика и закреплена винтами в 3 точках.<LI>Защитный чехол.</UL><p><span class="addt">||/img/pic/instr/small/42-3-540_550.jpg|/img/pic/instr/big/42-3-540_550.jpg
 0|Ножовка по дереву HARDAX Wood Line, 450 мм, 7-8 TPI    |128|42-3-445| 415| 407| 398|
 0|Ножовка по дереву HARDAX Wood Line, 500 мм, 7-8 TPI    |128|42-3-450| 465| 452| 444|
#1|Ножовка по сырой древесине Runex Green                 |128|577442  | 325| 315| 305||norow|Ножовка по сырой древесине 500 мм| Runex Green <span class="art">арт. 577442</span>|</span></p><UL><LI>Прямой крупный зуб, 3,5 зуба на дюйм.<LI>Полотно изготовлено из закалённой пружинящей стали 1 мм с лаковым покрытием.<LI>Удобная двухкомпонентная рукоятка с резиновой вставкой, закрепленная в 3 точках.</UL><p><span class="addt">||/img/pic/instr/small/Runex-Green.png|/img/pic/instr/big/jpg
 1|Ножовки по сырой древесине                             |128|577442  | 325| 315| 305||norow|| Runex Green|</span></p><UL><LI>Прямой крупный зуб, 3,5 зуба на дюйм.<LI>Полотно изготовлено из закалённой пружинящей стали 1 мм с лаковым покрытием.<LI>Удобная двухкомпонентная рукоятка с резиновой вставкой, закрепленная в 3 точках.</UL><p><span class="addt">||/img/pic/instr/small/Runex-Green.png|/img/pic/instr/big/jpg
 0|Ножовка по сырой древесине Runex Green, 400 мм, 3,5 TPI|128|577441  | 325| 315| 305|
 0|Ножовка по сырой древесине Runex Green, 500 мм, 3,5 TPI|128|577442  | 425| 415| 402|
 1|Ножовка по фанере и ДСП Runex "HARD", 320 мм, 13 TPI   |128|577407  | 278| 272| 268||norow|Ножовка по фанере и ДСП| Runex "HARD", 320 мм, ударный зуб 13 з/д <span class=art>арт. 577407</span>|</span></p><UL><LI>Особая форма рукояти под кисть с приложением силы немного сверху по отношению к материалу.<LI>Мелкие закалённые зубья работают как долото.<LI>Широкое полотно дает ровный распил.</UL><p><span class="addt">||/img/pic/instr/small/577407.jpg|/img/pic/instr/big/577407.jpg
 0|Ножовка по фанере и ДСП Runex "HARD", 320 мм, 13 TPI   |128|577407  | 278| 272| 268||
 1|Ножовка по фанере, 300 мм, шаг 2 мм (13 TPI)           |128|42-4-302| 166| 166| 166||norow sale1|Ножовка по фанере|, 300 мм, шаг 2 мм (13 TPI), пластиковая рукоятка <span class=art>арт. 42-4-302</span>|</span></p><UL><LI>Прямой зуб.<LI>Эргономичная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/42-4-302.jpg|/img/pic/instr/big/42-4-302.jpg
 0|Ножовка по фанере, 300 мм, шаг 2 мм (13 TPI)           |128|42-4-302| 166| 166| 166|
 1|Ножовка по ламинату 360 мм                             |128|24121   | 555| 555| 555||norow sale1|| GROSS "Piranha" <span class="art">арт. 24121</span>|</span></p><UL><LI>Полотно из высокоуглеродистой стали SK-5.<LI>Каленый зуб с 3D заточкой, 14-15 TPI (зубьев на дюйм).<LI>Тефлоновое покрытие полотна.<LI>Двухкомпонентная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/PIRANHA 500.jpg|/img/pic/instr/big/PIRANHA 500.jpg
 0|Ножовка по ламинату GROSS "Piranha" 360 мм, 14-15 TPI  |128|24121   | 555| 555| 555||
#1|Ножовка по дереву                                      |128|232305  | 158| 154| 159||norow|Ножовки по дереву| SPARTA|</span></p><UL><LI>Ножовка изготовлена из холоднокатаной стали марки 65 Mn.<LI>Полотно инструмента имеет зуб с двухсторонней заточкой.<LI>Зубья ножовки закалены. Количество зубьев на дюйм – 6. Твердость зубьев – 55 HRc.<LI>На поверхность нанесена разметка, позволяющая производить точные замеры.<LI>Рукоятка изготовлена из высокопрочной пластмассы.</UL><p><span class="addt">||/img/pic/instr/small/232305.jpg|/img/pic/instr/big/232305.jpg
#0|Ножовка по дереву 400 мм SPARTA                        |128|232305  | 158| 154| 159|||
#0|Ножовка по дереву 450 мм SPARTA                        |128|232335  | 165| 161| 159|||
#0|Ножовка по дереву 500 мм SPARTA                        |128|232365  | 183| 179| 174|||
#1|Ножовки по дереву                                      |128|24101   | 798| 788| 779||norow|| GROSS "Piranha"|</span></p><UL><LI>Полотно из высокоуглеродистой стали SK-5.<LI>Каленый зуб с 3D заточкой, 11-12 TPI (зубьев на дюйм).<LI>Тефлоновое покрытие полотна.<LI>Двухкомпонентная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/PIRANHA 500.jpg|/img/pic/instr/big/PIRANHA 500.jpg
#0|Ножовка по дереву GROSS "Piranha" 3D, 500 мм           |128|24104   | 798| 788| 779|
#0|Ножовка по дереву GROSS "Piranha" 500 мм               |128|24107   | 825| 798| 770|
#1|Ножовка по дереву                                      |128|18170   | 880| 840| 820||norow|| TRUPER ПРОФИ|Профессиональная ручная пила класса PREMIUM, закаленная высокоуглеродистая сталь, толщина лезвия 0,8 мм, деревянная рукоятка, 6 TPI.||/img/pic/instr/small/t18170.jpg|/img/pic/instr/big/t18170.jpg
#0|Ножовка по дереву TRUPER STD-24, 600 мм                |128|18170   | 880| 840| 820|
#1|Ножовка по дереву                                      |128|18162   |1090|1040| 995||norow|| TRUPER STX-26, 650 мм <span class=art>арт. 18162</span>|Профессиональная ручная пила класса PREMIUM, закаленная высокоуглеродистая сталь, толщина лезвия 0,9 мм, 6 TPI.||/img/pic/instr/small/STX-26.jpg|/img/pic/instr/big/STX-26.jpg
#1|Ножовки по дереву                                      |128|18162   |1090|1040| 995||norow|| TRUPER STX-26|Профессиональная ручная пила класса PREMIUM, закаленная высокоуглеродистая сталь, толщина лезвия 0,9 мм, 6 TPI, пр-во Бразилия.||/img/pic/instr/small/STX-26.jpg|/img/pic/instr/big/STX-26.jpg
#0|Ножовка по дереву TRUPER STX-26, 550 мм                |128|18160   | 998| 960| 940||||
#0|Ножовка по дереву TRUPER STX-26, 660 мм                |128|18162   |1090|1040| 995||||
#1|Ножовка по сырой древесине Runex Green, 400 мм, 3,5 TPI|128|577441  | 275| 260| 245||ltd|Ножовки по сырой древесине| Runex Green|</span></p><UL><LI>Прямой крупный зуб, 3,5 зуба на дюйм.<LI>Полотно изготовлено из закалённой пружинящей стали 1 мм с лаковым покрытием.<LI>Удобная двухкомпонентная рукоятка с резиновой вставкой, закрепленная в 3 точках.</UL><p><span class="addt">||/img/pic/instr/small/Runex-Green.png|/img/pic/instr/big/jpg
#1|Ножовка по дереву Runex Classic, 400 мм, 7 TPI         |128|577401  | 365,00| 350,00| 340,00||ltd|Ножовки по дереву| Runex Classic|</span></p><UL><LI>Для поперечной и продольной распилки деревянных материалов, материалов из ДСП, МДФ, ламинированных плит и пластиков.<LI>7 зубьев на дюйм, зубья на полотне разведены и заточены.<LI>Полотно изготовлено из закалённой пружинящей стали 1 мм с лаковым покрытием.<LI>Удобная двухкомпонентная рукоятка с резиновой вставкой, закрепленная в 3 точках.</UL><p><span class="addt">||/img/pic/instr/small/Runex-Classic.jpg|/img/pic/instr/big/jpg
#1|Ножовка по дереву MATRIX, 500 мм, 7-8 TPI              |128|23551   | 365,00| 350,00| 340,00||norow|Ножовка по дереву| MATRIX, 500 мм, 7-8 TPI <span class=art>арт. 23551</span>|</span></p><UL><LI>Ножовка изготовлена из холоднокатаной стали марки 65 Mn с твердостью закаленного зуба 50–65 HRc.<LI>Трехгранная лазерная заточка зубьев. Количество зубьев на дюйм – 7-8.<LI>Тефлоновое покрытие уменьшает трение полотна о заготовку и защищает его от коррозии.<LI>Эргономичная двухкомпонентная рукоятка крепится к полотну тремя винтами.</UL><p><span class="addt">||/img/pic/instr/small/m23551.png|/img/pic/instr/big/jpg
#0|Ножовка по дереву MATRIX, 500мм, 3D каленый зуб, 7-8TPI|128|23551   | 365,00| 350,00| 340,00||
#0|Ножовка по дереву Runex Classic, 500 мм, 7 TPI         |128|577402  | 288,00| 270,00|260,00|
#0|Ножовка по дереву Runex Classic, 550 мм, 7 TPI         |128|577403  | 290,00| 270,00|260,00|
#1|Ножовка по дереву "BLACK SERIES", 450&nbsp;мм          |128|23578   | 305,25| 288,60|277,50||ltd|Ножовки по дереву| MATRIX Professional "BLACK SERIES"|Каленый зуб 3D, тефлоновое покрытие полотна, деревянная рукоятка с резиновым протектором, 7-8 TPI.||/img/pic/instr/small/NOJOVKA BLACK SERIES 550 mm.jpg|/img/pic/instr/big/NOJOVKA BLACK SERIES 550 mm.jpg
#0|Ножовка по дереву "BLACK SERIES", 550&nbsp;мм          |128|23579   | 360,75| 349,65|338,55|
#1|Ножовка по дереву CROSSWEHR "SNABB", 400 мм, 11 TPI    |128|574011  | 616,05| 599,40|588,30||ltd|Ножовки по дереву| CROSSWEHR (Швеция) "SNABB"|Частый зуб с трехгранной заточкой, дающей зубу дополнительную режущую грань с оптимальным агрессивным углом. Особая разводка на 4 режущих острия обеспечивает исключительно быстрое, легкое и чистое пиление, как вдоль, так и поперек древесных волокон. Применима по всем видам твердой и мягкой древесины, ДСП, МДФ, ламинату, фанере, сухому и сырому дереву. Толстое полотно 1,0 мм обеспечивает стабильность пиления и ровный пропил. Зубья закалены. Удобная ударопрочная пластиковая рукоятка. ||/img/pic/instr/small/nozovka SNABB.jpg|/img/pic/instr/big/nozovka SNABB.jpg
#0|Ножовка по дереву CROSSWEHR "SNABB", 500 мм, 11 TPI    |128|574012  | 738,15| 721,50|710,40||norow
#1|Ножовка по дереву CROSSWEHR "TIMMER", 400 мм, 7 TPI    |128|574001  | 616,05| 599,40|588,30||ltd|Ножовки по дереву| CROSSWEHR (Швеция) "TIMMER"|Острый равнобедренный зуб, работающий в обоих направлениях. Толстое полотно дает стабильность при распиловке. Прекрасно подходит для работ по твердой древесине, ДСП, фанере и ламинату. Идеальная степень разводки обеспечивает легкую работу даже по сырой древесине как вдоль, так и поперек волокон. Зубья закалены. Удобная ударопрочная пластиковая рукоятка. ||/img/pic/instr/small/nozovka TIMMER.jpg|/img/pic/instr/big/nozovka TIMMER.jpg
#0|Ножовка по дереву CROSSWEHR "TIMMER", 500 мм, 7 TPI    |128|574002  | 738,15| 721,50|710,40|
#0|Ножовка по дереву CROSSWEHR "TIMMER", 550 мм, 7 TPI    |128|574003  | 738,15| 721,50|710,40||norow
#0|Ножовка по дереву TRUPER STD-18, 460 мм                |128|18167   | 690,00| 670,00| 650,00|
#0|Ножовка по дереву TRUPER STD-20, 510 мм                |128|18168   | 720,00| 690,00| 670,00|
#1|Ножовка по дереву                                      |128|24101   | 555   | 535   |525   |||| GROSS "PIRANHA 3D", 500&nbsp;мм <span class=art>арт. 24101 </span>|</span></p><UL><LI>Полотно из высокоуглеродистой стали SK-5.<LI>Каленый зуб с 3D заточкой, 7-8 TPI (зубьев на дюйм).<LI>Двухкомпонентная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/PIRANHA 500.jpg|/img/pic/instr/big/PIRANHA 500.jpg
#1|Ножовка столярная с универсальными зубьями             |128|23163   | 155   | 148   |142   ||||, 400&nbsp;мм, шаг зубьев 4&nbsp;мм (Ижевск) <span class=art>арт. 23163</span>|Уменьшенный шаг зубьв обеспечивает хорошую чистоту среза, плавное резание, отсутствие сколов на выходе материала.||/img/pic/instr/small/NOJOVKA 400.jpg|/img/pic/instr/big/NOJOVKA 400.jpg
#1|Ножовка по дереву                                      |128|23803   | 185   | 169   |155   |||| ЗУБЕЦ, 450&nbsp;мм <span class=art>арт. 23803</span>|7-8 TPI, каленый зуб.||/img/pic/instr/small/NOZOVKA ZUBEC.jpg|/img/pic/instr/big/NOZOVKA ZUBEC.jpg
#1|Ножовка по дереву                                      |128|        | 169   |       |      |||| WOOD LINE, 450&nbsp;мм ("REMOCOLOR") <span class=art>арт. </span>|Полимернное покрытие полотна, трехгранная заточка, твердость 55 HRC, индукционная закалка зубьев.<br>Для распиловки сухой и влажной древесины твердых и мягких пород поперек волокон, а также ДСП, МДФ, пластика.||/img/pic/instr/small/NOJOVKA WOOD LINE 450 mm.jpg|/img/pic/instr/big/NOJOVKA WOOD LINE 450 mm.jpg
##########################
#1|Ножовка по дереву                                      |318|24108/05|344||| GROSS "PIRANHA 3D", 550&nbsp;мм <span class=art>арт. 24108 / 24105</span>|Сегментное строение рабочей кромки полотна, каленый зуб 3D, двухкомпонентная рукоятка, 11-12 TPI (зубьев на дюйм).||/img/pic/instr/small/NOJOVKA PIRANHA 550 mm.jpg|/img/pic/instr/big/NOJOVKA PIRANHA 550 mm.jpg
#1|Ножовка по дереву                                      |318|232305  | 77||| SPARTA, 400&nbsp;мм <span class=art>арт. 232305</span>|5-6 TPI, каленый зуб.||/img/pic/instr/small/232305.jpg|/img/pic/instr/big/jpg

# 129,cat129|Ножовки по пенобетону
#1|Ножовка по пенобетону 500&nbsp;мм MATRIX |129|23380   | 745| 725|695||norow|Ножовки по пенобетону| MATRIX|</span></p><UL><LI>Твердосплавные напайки из карбида вольфрама со специальным углом заточки для распила пенобетонных блоков, что позволяет совершать аккуратный чистый рез.<LI>Тефлоновое покрытие защищает полотно от коррозии и снижает трение о материал.<LI>Двухкомпонентная рукоятка эргономичной формы не скользит в руке.</UL><p><span class="addt">||/img/pic/instr/small/NOJOVKA PO PENOBETONU.jpg|/img/pic/instr/big/NOJOVKA PO PENOBETONU.jpg
#0|Ножовка по пенобетону 500&nbsp;мм MATRIX |129|23380   | 745| 725|695|
#0|Ножовка по пенобетону 700&nbsp;мм MATRIX |129|23382   | 945| 925|895|
#1|Ножовка по пенобетону 600&nbsp;мм RUNEX  |129|577404  | 798| 782|772||norow|Ножовка по пенобетону 600&nbsp;мм| RUNEX Cement <span class=art>арт. 577404</span>|</span></p><UL><LI>Твердосплавные напайки на зубья; шаг зубьев 20 мм.<LI>Антикоррозийное покрытие полотна.<LI>Толщина полотна 1,8 мм.<LI>Двухкомпонентная обрезиненная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/RUNEX_Cement.jpg|/img/pic/instr/big/jpg
 1|Ножовки по пенобетону, твердосплавной зуб|129|577404  | 798| 782|772||norow|| RUNEX Cement|</span></p><UL><LI>Твердосплавные напайки на зубья; шаг зубьев 20 мм.<LI>Антикоррозийное покрытие полотна.<LI>Толщина полотна 1,8 мм.<LI>Двухкомпонентная обрезиненная рукоятка.</UL><p><span class="addt">||/img/pic/instr/small/RUNEX_Cement.jpg|/img/pic/instr/big/jpg
 0|Ножовка по пенобетону 600&nbsp;мм RUNEX  |129|577404  | 798| 782|772|
 0|Ножовка по пенобетону 700&nbsp;мм RUNEX  |129|577408  | 848| 833|822|
#1|Ножовка по газобетону 550&nbsp;мм HARDAX |129|42-2-205| 698| 682|668||norow|Ножовка по газобетону 550 мм| HARDAX|</span></p><UL><LI>Полотно из высокоуглеродистой стали.<LI>Зубья с твердосплавной вставкой.<LI>Шаг зубъев 8-9 TPI.</UL><p><span class="addt">||/img/pic/instr/small/42-2-205.jpg|/img/pic/instr/big/42-2-205.jpg
#0|Ножовка по газобетону 550&nbsp;мм HARDAX |129|42-2-205| 698| 682|668|
 1|Ножовка по гипсокартону 180 мм MATRIX    |129|23392   | 395| 370|350||norow|Ножовка по гипсокартону 180&nbsp;мм| MATRIX, 2 рабочие кромки, двухкомпонентная рукоятка <span class=art>арт. 23392</span>|Специальная заточка зуба обеспечивает легкий и быстрый пропил. Шаг - 9 зубъев на дюйм. Двухсторонняя заточка полотна. Двухкомпонентная эргономичная рукоятка.||/img/pic/instr/small/Nojovka po GIPSOKARTONU.jpg|/img/pic/instr/big/Nojovka po GIPSOKARTONU.jpg
 0|Ножовка по гипсокартону 180 мм MATRIX    |129|23392   | 395| 370|350|
#1|Ножовка по пенобетону 700&nbsp;мм|129|23382|625|610|595   |||Ножовка по пенобетону| MATRIX 700&nbsp;мм <span class=art>арт. 23382</span>|</span></p><UL><LI>Твердосплавные напайки из карбида вольфрама со специальным углом заточки для распила пенобетонных блоков, что позволяет совершать аккуратный чистый рез.<LI>Тефлоновое покрытие защищает полотно от коррозии и снижает трение о материал.<LI>Двухкомпонентная рукоятка эргономичной формы не скользит в руке.</UL><p><span class="addt">||/img/pic/instr/small/NOJOVKA PO PENOBETONU.jpg|/img/pic/instr/big/NOJOVKA PO PENOBETONU.jpg

# 280,cat280|Пилки для лобзика
