# 454|Смеси и клей строительные
# 455|Клей для плитки
 1|Клей для плитки "Ceresit" CM  9, 25 кг                |455|CM.09.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM  9 для внутренних работ <span class=art>арт. CM.09.25</span>|Предназначен для крепления керамической плитки и керамогранита на жестких минеральных основаниях.</span></p><UL><LI>Водостойкий, устойчив к сползанию плитки.<LI>Пригоден только для внутренних работ.<LI>Экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM09m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM09s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM09r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM09f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM0925.jpg|/img/pic/foam/big/CM0925.jpg
#1|Антигрибок                                            |470|M.AST.05  |-|-|-||norow || "Мономах" STANDARD, канистра 5&nbsp;л <span class=art>арт. M.AST.05</span>|Средство против плесени на стенах (антиплесень).</span></p><UL><LI>Антигрибок представляет собой антибактериальное средство для уничтожения и предотвращения появления плесени, грибков, мха и колоний бактерий на деревянных поверхностях; для борьбы против жучков и других вредителей дерева.<LI>Обладает моющим эффектом и может быть использовано для профилактики появления грибков на деревянных стенах, потолках и полах.<LI>Антигрибок относится к классу антисептических средств и используется для обработки деревянных конструкций.<LI>Состав смеси включает в себя фунгицид, биоцид С, пеногаситель, воду и целевые добавки.<LI>Расход 1л на 8-10 кв.м. Для обработки непораженной древесины состав может быть разбавлен водой на 50%. Неразбавленным составом рекомендуется обрабатывать сильно пораженные деревянные материалы.<LI>Может быть добавлен в лакокрасочные материалы, в штукатурку и строительные смеси, если в помещении ранее наблюдалось или предполагается образование плесени и грибков на стенах.</UL><p><span class="addt">||/img/pic/shmal/small/mon-antig-st.jpg|/img/pic/shmal/big/mon-antig.jpg
 1|Антигрибок                                            |470|M.AST.05  |-|-|-||norow || "Мономах" STANDARD, канистра 5&nbsp;(10)&nbsp;л|Средство против плесени на стенах (антиплесень).</span></p><UL><LI>Антигрибок представляет собой антибактериальное средство для уничтожения и предотвращения появления плесени, грибков, мха и колоний бактерий на деревянных поверхностях; для борьбы против жучков и других вредителей дерева.<LI>Обладает моющим эффектом и может быть использовано для профилактики появления грибков на деревянных стенах, потолках и полах.<LI>Антигрибок относится к классу антисептических средств и используется для обработки деревянных конструкций.<LI>Состав смеси включает в себя фунгицид, биоцид С, пеногаситель, воду и целевые добавки.<LI>Расход 1л на 8-10 кв.м. Для обработки непораженной древесины состав может быть разбавлен водой на 50%. Неразбавленным составом рекомендуется обрабатывать сильно пораженные деревянные материалы.<LI>Может быть добавлен в лакокрасочные материалы, в штукатурку и строительные смеси, если в помещении ранее наблюдалось или предполагается образование плесени и грибков на стенах.</UL><p><span class="addt">||/img/pic/shmal/small/mon-antig-st.jpg|/img/pic/shmal/big/mon-antig.jpg
 0|Антигрибок "Мономах" STANDARD, 5 л                    |470|M.AST.05  |-|-|-||
 0|Антигрибок "Мономах" STANDARD, 10 л                   |470|M.AST.10  |-|-|-||
 1|Огнебиозащита                                         |470|M.OST.05  |-|-|-||norow || "Мономах" STANDARD, канистра 5&nbsp;л <span class=art>арт. M.OST.05</span>|Средство комплексной защиты органических материалов от биоразрушения, вызванного плесенью, грибками, гнилью и паразитами, и от воспламенения и горения.</span></p><UL><LI>Огнебиозащита обеспечивает 1-й или 2-й класс пожароустойчивости в зависимости от количества нанесенного на поверхность состава. Расход:<UL><LI>I группа (трудногорючая) &mdash; не менее 600 г/кв.м;<LI>II группа (трудновоспламеняемая), а также биозащита &mdash; не менее 300 г/кв.м.</UL><LI>Средство пригодно для внутреннего и наружного применения. Экологически безопасно, может использоваться для обработки конструкций и элементов жилых помещений.<LI>Не провоцирует коррозию и продлевает срок эксплуатации конструкций из дерева до 20 лет.</UL><p><span class="addt">||/img/pic/shmal/small/mon-ognebio-w.jpg|/img/pic/shmal/big/mon-ognebio-b.jpg
 0|Огнебиозащита "Мономах" STANDARD, 5 л                 |470|M.OST.05  |-|-|-||

# 471|Жидкое стекло "Мономах"
 1|Жидкое стекло натриевое                               |471|M.O2.10   |225,00|222,00|209,00||norow|| "Мономах" О2, канистра 10&nbsp;л <span class=art>арт. M.O2.10</span>|Универсальный строительный и ремонтный материал широкого назначения, водный щелочной раствор силикатов натрия и калия с хорошими связующими, водоотталкивающими и огнеупорными характеристиками. Области применения:</span></p><UL><LI>придает конструкциям из бетона и других материалов дополнительную прочность и защищает их от воздействия влаги (в качестве усилителя для бетонных растворов пропорции смешивания примерно такие: 1 часть цемента, 3 части песка, 1 часть жидкого стекла), используется и для укрепления слабых грунтов, в закладке и укреплении фундамента;<LI>при включении в состав гидроизоляционного материала повышает его твердость, устойчивость к истиранию: стекло не меняет своей структуры и не истощается под воздействием факторов окружающей среды, что продлевает срок службы гидроизоляции. На основе стекла готовятся также различные замазки (в том числе для водопроводных труб);<LI>при грунтовании поверхности под устройство стяжки, жидкий водный раствор 1 части цемента и 1 части стекла служит отличной быстротвердеющей грунтовкой для старых, рассыпающихся оснований, которая хорошо заполняет все щели и пустоты, укрепляя тем самым покрытие;<LI>используется для изготовления бетона и цемента с повышенными характеристиками жаростойкости и кислостойкости, пропитки тканей, приготовления огнезащитных красок и огнеупорный смесей.<LI>Экологически безопасен, может использоваться в отделке жилых помещений, является природным антисептиком.</UL><p><span class="addt">||/img/pic/shmal/small/mon-JS-O2.jpg|/img/pic/shmal/big/mon-JS-O2.jpg
 0|Жидкое стекло "Мономах" О2, 10 л                      |471|M.O2.10   |225,00|222,00|209,00||
 1|Жидкое стекло натриевое                               |471|M.SP.05   |275,00|265,00|258,00||norow|| "Мономах" PREMIUM, канистра 5&nbsp;л <span class=art>арт. M.SP.05</span>|Универсальный строительный и ремонтный материал широкого назначения, водный щелочной раствор силикатов натрия и калия с хорошими связующими, водоотталкивающими и огнеупорными характеристиками. Области применения:</span></p><UL><LI>придает конструкциям из бетона и других материалов дополнительную прочность и защищает их от воздействия влаги (в качестве усилителя для бетонных растворов пропорции смешивания примерно такие: 1 часть цемента, 3 части песка, 1 часть жидкого стекла), используется и для укрепления слабых грунтов, в закладке и укреплении фундамента;<LI>при включении в состав гидроизоляционного материала повышает его твердость, устойчивость к истиранию: стекло не меняет своей структуры и не истощается под воздействием факторов окружающей среды, что продлевает срок службы гидроизоляции. На основе стекла готовятся также различные замазки (в том числе для водопроводных труб);<LI>при грунтовании поверхности под устройство стяжки, жидкий водный раствор 1 части цемента и 1 части стекла служит отличной быстротвердеющей грунтовкой для старых, рассыпающихся оснований, которая хорошо заполняет все щели и пустоты, укрепляя тем самым покрытие;<LI><b>обладая высокой клеящей способностью, используется  для склеивания различных материалов, в частности, для укладки линолеума или плитки ПВХ;</b><LI>используется для изготовления бетона и цемента с повышенными характеристиками жаростойкости и кислостойкости, пропитки тканей, приготовления огнезащитных красок и огнеупорный смесей.<LI>Экологически безопасен, может использоваться в отделке жилых помещений, является природным антисептиком.</UL><p><span class="addt">||/img/pic/shmal/small/mon-JS-PR.jpg|/img/pic/shmal/big/mon-JS-PR.jpg
 0|Жидкое стекло "Мономах" PREMIUM, 5 л                  |471|M.SP.05   |275,00|265,00|258,00||

# 469|Клей ПВА, строительный
 1|Клей ПВА строительный                                 |469|M.PS.05   |138,00|133,00|129,00||norow|| "Мономах-St" <span class=art>арт. M.PS.05</span>|</span></p><UL><LI>Применяется для соединения разнообразных строительных материалов, в том числе для приклеивания обоев и облицовочных плиток.<LI>Также его добавляют в строительные растворы, что улучшает их адгезию и пластичность.<LI>От универсального ПВА отличается меньшей областью применения и более специфическими свойствами. Его клеящая способность выше, чем у универсального.</UL><p><span class="addt"><b>Цена за 1 ведро 5 л.</b>||/img/pic/foam/small/mon-PVA-STR.jpg|/img/pic/foam/big/mon-PVA-STR.jpg
 0|Клей ПВА строительный, 5л                             |469|M.PS.05   |138,00|133,00|129,00||
 1|Клей ПВА универсальный                                |469|M.PU.05   |169,00|162,00|159,00||norow|| "Мономах-St"|</span></p><UL><LI>Применяется для соединения самых разнообразных поверхностей: бумага, дерево, картон, ДСП, стекло, кожа, пластик, линолеум и т.п.<LI>Также его добавляют в строительные растворы, что улучшает их адгезию и пластичность.<LI>Отличается хорошей клеящей способностью, выдерживает морозы до -40&deg;C, не теряя своих свойств.</UL><p><span class="addt"><b>Цена за 1 ведро 5 / 10 л.</b>||/img/pic/foam/small/mon-PVA-UNI.jpg|/img/pic/foam/big/mon-PVA-UNI.jpg
 0|Клей ПВА универсальный, 5л                            |469|M.PU.05   |169,00|162,00|159,00||
 0|Клей ПВА универсальный, 10л                           |469|M.PU.10   |298,00|288,00|279,00||
 1|Клей строительный универсальный КС                    |469|M.KU.15   |345,00|335,00|325,00||norow|| "Мономах"    <span class=art>арт. M.KU.15</span>|Применяется для приклеивания линолеума, плитки, фанеры и т.п.<br><br><b>Цена за 1 канистру 15 кг.</b>||/img/pic/foam/small/mon-KS.jpg|/img/pic/foam/big/mon-KS.jpg
 0|Клей строительный универсальный КС, 15 кг             |469|M.KU.15   |345,00|335,00|325,00||

# 483|Краска ВД
 1|Краска фасадная вододисперсионная супербелая, 14 кг   |483|M.VD.314  |-|-|-||norow|| "Мономах", ведро 14 кг <span class=art>арт. M.VD.314</span>|</span><span class="for">Краска водно-дисперсионная акриловая для наружных работ по отделке фасада.</span></p><UL><li>Краску можно наносить на большинство минеральных оснований, включая бетон, цемент, кирпич, штукатурка, дерево, гипсокартон и многие другие пористые поверхности. Покрытие получается ровным, а цвет – равномерным и насыщенным.<li>Имеет высокую стойкость к перепадам температур, воздействию ультрафиолетового излучения, атмосферного влияния и агрессивности внешней среды; сохраняет все свои свойства при смешении с колером.<li>Воздухопроницаемость образуемого покрытия способствует естественному удалению излишков влаги из обрабатываемого материала, снижая риск его поражения грибком или плесенью.<li>Обеспечивает прочное сцепление с поверхностями. Окрашенные поверхности можно подвергать очистке при помощи жидких моющих средств.<li>Не имеет запаха; не токсична; экологически безопасна.</ul><p><span class="addt">||/img/pic/shmal/small/mon-vd314.jpg|/img/pic/shmal/big/mon-vd314.jpg
 0|Краска фасадная вододисперсионная супербелая, 14 кг   |483|M.VD.314  |-|-|-||
 1|Краска для стен и потолков супербелая                 |483|M.VD.114  |-|-|-||norow|| "Мономах", ведро 14 кг <span class=art>арт. M.VD.114</span>|</span><span class="for">Краска водно-дисперсионная акриловая для окрашивания стен и потолков внутри помещений.</span></p><UL><li>Краску можно наносить на большинство минеральных оснований, включая бетон, цемент, кирпич, штукатурка, дерево, гипсокартон и многие другие пористые поверхности. Покрытие получается ровным, а цвет – равномерным и насыщенным.<li>Краску можно колеровать как пастами для водно-дисперсионных красок, так и универсальными колерами.<li>Обеспечивает прочное сцепление с поверхностями. Окрашенные поверхности можно подвергать очистке при помощи жидких моющих средств.<li>Не имеет запаха; не токсична; экологически безопасна.</ul><p><span class="addt">||/img/pic/shmal/small/mon-vd114.jpg|/img/pic/shmal/big/mon-vd114.jpg
 0|Краска для стен и потолков супербелая, 14 кг          |483|M.VD.114  |-|-|-||
 1|Краска интерьерная влагостойкая супербелая            |483|M.VD.214  |-|-|-||norow|| "Мономах", ведро 14 кг <span class=art>арт. M.VD.214</span>|</span><span class="for">Краска водно-дисперсионная акриловая для окрашивания стен и потолков в помещениях с умеренной эксплуатационной нагрузкой и нормальным уровнем влажности.</span></p><UL><li>Краску можно наносить на большинство минеральных оснований, включая пористые поверхности, и использовать для покрытия различных структурных обоев, таких как стеклообои и полотнища на флизелиновой основе. Покрытие получается ровным, а цвет – равномерным и насыщенным.<li>Краску можно колеровать как пастами для водно-дисперсионных красок, так и универсальными колерами.<li>Долговечна; обеспечивает надёжное сцепление с поверхностями. Окрашенные поверхности можно подвергать очистке при помощи жидких моющих средств.<li>Не имеет запаха; не токсична; экологически безопасна.</ul><p><span class="addt">||/img/pic/shmal/small/mon-INTERERNAJA.jpg|/img/pic/shmal/big/mon-INTERERNAJA.jpg
 0|Краска интерьерная влагостойкая супербелая, 14 кг     |483|M.VD.214  |-|-|-||

# 463|Гидроизоляционные материалы Мастика, Праймер
 1|Мастика битумная, ведро 16 кг, KRAFOR                 |463|MK.16     |-|-|-||norow|Мастика битумная| KRAFOR <span class=art>арт. MK.16 </span>|</span></p><UL><LI>Готовый к применению многокомпонентный битумный материал для создания бесшовного водонепроницаемого покрытия при гидроизоляции фундамента, крыши, несущих конструкций дома, внутренних помещений, а также для приклеивания битумных рулонных материалов и других листовых строительных материалов.<LI>Расход при устройстве кровли и гидроизоляции – 2-3 кг/кв.м.<LI>Расход при приклеивании – 0,8-1,0 кг/кв.м.</UL><p><span class="addt"><b>Цена за ведро 16 кг.</b>||/img/pic/foam/small/mast_kraf.jpg|/img/pic/foam/big/mast_kraf.jpg
 0|Мастика битумная, ведро 16 кг, KRAFOR                 |463|MK.16     |-|-|-||
 1|Мастика резино-битумная, ведро 16 кг, KRAFOR          |463|MK.16К    |-|-|-||norow|Мастика резино-битумная| KRAFOR <span class=art>арт. MK.16К</span>|</span></p><UL><LI>Готовый к применению многокомпонентный битумный материал для покрытия и ремонта кровли, гидроизоляции стен, швов, фундаментов строительных сооружений, защиты от коррозии металлических трубопроводов, конструкций, труб и днищ автомобилей.<LI>Имеет хорошую адгезию к бетону, металлу, резине, дереву.<LI>Расход при устройстве кровли и гидроизоляции – 2-3 кг/кв.м.<LI>Расход при приклеивании – 0,8-1,0 кг/кв.м.</UL><p><span class="addt"><b>Цена за ведро 16 кг.</b>||/img/pic/foam/small/mast_kraf_r.jpg|/img/pic/foam/big/mast_kraf_r.jpg
 0|Мастика резино-битумная, ведро 16 кг, KRAFOR          |463|MK.16К    |-|-|-||
 1|Мастика битумная МГХ-Г, ведро 20 л (18 кг), ГРИДА     |463|MG.18     |-|-|-||norow|Мастика битумная| МГХ-Г "Грида" <span class=art>арт. MG.18</span>|</span></p><UL><LI>Готовая к применению однородная масса черного цвета, приготовленная на основе смеси различных сортов нефтяных битумов, минерального наполнителя и органического растворителя.<LI>Предназначена для внешней гидроизоляции фундаментов, подвалов, строительных и промышленных конструкций, эксплуатирующихся при температуре не более 70°С.<LI>Также может использоваться для склеивания строительных материалов, в том числе и гидроизоляционных.<LI>Температура применения от минус 10°С.<LI>Примерный расход на один слой - 1 кг/кв.м.</UL><p><span class="addt"><b>Цена за ведро 20 л (18 кг).</b>||/img/pic/foam/small/mghg20.jpg|/img/pic/foam/big/mghg20.jpg
 0|Мастика битумная МГХ-Г, ведро 20 л (18 кг), ГРИДА     |463|MG.18     |-|-|-||
 1|Праймер битумный, ведро 20 л (16 кг), KRAFOR          |463|PR.16K    |-|-|-||norow|Праймер| битумный KRAFOR <span class=art>арт. PR.16K</span>|</span></p><UL><LI>Готовый к применению материал для подготовки качественного приклеивания гидроизоляционных материалов к пористым, шероховатым поверхностям.<LI>Предназначен для грунтовки бетонных плит, цементно-песчанной стяжки перед укладкой наплавляемых самоклеющихся кровельных и гидроизоляционных материалов.<LI>Расход – 250-350 г/кв.м в зависимости от поглощающей способности основания.</UL><p><span class="addt"><b>Цена за ведро 16 кг.</b>||/img/pic/foam/small/prime_kraf.jpg|/img/pic/foam/big/prime_kraf.jpg
 0|Праймер битумный, ведро 20 л (16 кг), KRAFOR          |463|PR.16K    |-|-|-||
 1|Праймер СТ № 1, ведро 20 л (16 кг), ГРИДА             |463|PR.16     |-|-|-||norow|Праймер| СТ № 1 "Грида" <span class=art>арт. PR.16</span>|</span></p><UL><LI>Готовый к применению раствор битума в органическом растворителе с добавками поверхностно-активных веществ и ингибитора коррозии.<LI>Предназначен для подготовки поверхности строительных конструкций при создании гидроизоляционных покрытий: обеспечивает увеличение сцепления основания с наплавляемыми материалами.<LI>Может также применяться для временной гидроизоляции строительных конструкций и защиты их от коррозии.<LI>Температура применения от минус 10°С.<LI>Примерный расход на один слой - 0.25 л/кв.м. Праймер желательно наносить в два слоя не более 0,5 мм каждый.</UL><p><span class="addt"><b>Цена за ведро 20 л (16 кг).</b>||/img/pic/foam/small/primer_st1.JPG|/img/pic/foam/big/primer_st1.JPG
 0|Праймер СТ № 1, ведро 20 л (16 кг), ГРИДА             |463|PR.16     |-|-|-||

# 464|Смеси для устройства полов
#1|Смесь для пола самовыр. быстроотверд. "Ceresit" CN 173|464|CN.173    |-|-|-||norow|Смесь для пола самовыравнивающаяся быстроотвердевающая | "Ceresit" CN 173 <span class=art>арт. CN.173</span>|</span></p><UL><LI>Самовыравнивающаяся смесь (наливной пол) CN 173 предназначена для выравнивания бетонных, цементно-песчаных, ангидритных и гипсовых оснований пола под укладку керамических плиток, линолеума, ковролина, ламината и т.п. напольных покрытий, а также для изготовления и ремонта стяжек, связанных с основанием, в сухих помещениях с низкими механическими нагрузками (жилых, бытовых, административных и т.п.).<LI>Пригодна как для ручного, так и для механизированного нанесения.<LI>За один проход смесь можно наносить слоем толщиной от 6 до 60 мм.<LI>Безусадочна; устойчива к растрескиванию.<LI>Может применяться на слабых основаниях и на стяжках с подогревом.<LI>Экологически безопасна.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CN73m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CN73s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CN73r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CN73f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 20 кг||/img/pic/foam/small/CN0173.jpg|/img/pic/foam/big/CN0173.jpg
#0|Смесь для пола самовыр. быстроотверд. "Ceresit" CN 173|464|CN.173    |-|-|-||
 1|Смесь для пола самовыр. универсальная "Ceresit" CN 175|464|CN.175    |-|-|-||norow|Смесь для пола самовыравнивающаяся универсальная       | "Ceresit" CN 175 <span class=art>арт. CN.175</span>|</span></p><UL><LI>Предназначена для выравнивания пола под укладку покрытий (ПВХ, линолеума, ковролина, керамической плитки, ламината и др.), изготовления стяжек и ремонта дефектов оснований пола (трещин, выбоин и т.д.) в сухих помещениях с невысокими механическими нагрузками (жилых, бытовых, административных и т.п.).<LI>Пригодна как для ручного, так и для механизированного нанесения.<LI>Безусадочна; устойчива к растрескиванию.<LI>Может применяться на слабых основаниях и на стяжках с подогревом.<LI>Пригодна для изготовления «плавающих» стяжек.<LI>Экологически безопасна.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CN75m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CN75s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CN75r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CN75f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 20 кг||/img/pic/foam/small/CN0175.jpg|/img/pic/foam/big/CN0175.jpg
 0|Смесь для пола самовыр. универсальная "Ceresit" CN 175|464|CN.175    |-|-|-||

# 546|Краска для металла "Панцирь"
1|Краска для металла |546|PR.20|3095|3095|3095||norow || "Panzer" (Henkel, Германия; пр-во Словении)|</span></p><UL><li>"3 в 1": преобразователь ржавчины + грунтовка + декоративное покрытие.<li>Обладает хорошей адгезией к ржавчине (допустимо нанесение прямо на ржавчину), препятствует дальнейшему образованию коррозии; достаточно нанесения всего 1 слоя. Такое упрощение технологии покраски экономит до 50% стоимости работ.<li>Покрытие имеет <b>панцирную структуру</b>, которая создаёт дополнительный барьер для проникновения воды и кислорода к металлической поверхности.<li>Два вида краски: <b>гладкая</b> и <b>молотковая</b> &mdash; она создает декоративный эффект «ручной молотковой чеканки», такая фактура не только интересно выглядит, но и позволяет скрыть дефекты окрашенной поверхности и следы подкраски.<li>Экологична: не содержит толуола и соединений свинца.<li>Температура эксплуатации от -40° до +80°C. Гарантия стойкости и защиты от коррозии до 5 лет.</ul><p><span class="addt"><b>Цена за 1 банку.</b>||/img/pic/shmal/small/panzer.jpg|/img/pic/shmal/big/panzer.jpg
0|Краска "Panzer" желтая гладкая, 0.75 л    |546|48163| 595| 588| 575||sp1
0|Краска "Panzer" желтая гладкая, 2.30 л    |546|48174|1495|1475|1445||
0|Краска "Panzer" красная гладкая, 0.75 л   |546|48165| 595| 588| 575||sp1
0|Краска "Panzer" красная гладкая, 2.30 л   |546|48176|1495|1475|1445||
0|Краска "Panzer" красная молотковая, 0.75 л|546|48195| 595| 588| 575||sp1
0|Краска "Panzer" красная молотковая, 2.30 л|546|48204|1495|1475|1445||
0|Краска "Panzer" серая гладкая, 0.75 л     |546|48162| 595| 588| 575||sp1
0|Краска "Panzer" серая гладкая, 2.30 л     |546|48173|1495|1475|1445||
0|Краска "Panzer" серая молотковая, 0.75 л  |546|48197| 595| 588| 575||sp1
0|Краска "Panzer" серая молотковая, 2.30 л  |546|48206|1495|1475|1445||
0|Краска "Panzer" черная гладкая, 0.25 л    |546|48159| 265| 260| 250||sp2
0|Краска "Panzer" черная гладкая, 0.75 л    |546|48170| 595| 588| 575||sp1
0|Краска "Panzer" черная гладкая, 2.30 л    |546|48181|1495|1475|1445||
0|Краска "Panzer" черная молотковая, 0.75 л |546|48200| 595| 588| 575||sp1
0|Краска "Panzer" черная молотковая, 2.30 л |546|48209|1495|1475|1445||

# 156|Краска БТ-177 серебрянка
#1|Краска БТ-177 (серебрянка), 0.50 л|156|BT.1775|133|129|125||norow|| <span class=art>арт. BT.1775</span>|<b>Цена за 1 бутыль 0.50 л.</b>||/img/pic/shmal/small/BT1775.jpg|/img/pic/shmal/big/BT1775.jpg
#0|Краска БТ-177 (серебрянка), 0.50 л|156|BT.1775|133|129|125|

# 479|Огнезащитная краска
#1|Огнезащитная краска                              |479|PR.20|3095|3095|3095||norow|| Protect F, цвет светло-серый матовый, ведро 20 кг <span class=art>арт. PR.20</span>|Огнезащитная краска Protect F на водной основе предназначена для повышения предела огнестойкости металлоконструкций до не менее 45, 60, 90 минут.</span></p><UL><li>Для применения на внутренних и наружных, не подверженных прямому атмосферному воздействию поверхностях; а также подверженных действию разрушающих факторов (потоки воды, атмосферные осадки, агрессивная среда и т. п.), при условии нанесения защитного атмосферостойкого покрытия.<li>Срок службы покрытия составляет не менее 10 лет.<li>Поставляется готовой к применению. При необходимости допускается разбавление краски водой в количестве до 7%.<li>Расход краски от 0.6 до 2.5 кг/кв.м в зависимости от параметров обрабатываемой конструкции и требуемого предела огнестойкости.<li>Пожаро- и взрывобезопасный продукт с нулевой (наименьшей) степенью горючести и реактивности.<li>Малотоксична, химически стабильна, совместима с другими веществами. Высохшее покрытие не оказывает вредного воздействия на организм человека.<li>Имеются Пожарные сертификаты R45, R60, R90; Сертификат ГОСТ; Экспертное и Санитарно-эпидемиологическое заключение; детальное <a href="/img/pic/shmal/big/ProtectF.pdf" target=_blank title="Документ PDF">руководство по применению</a>.</ul><p><span class="addt"><b>Цена за ведро 20 кг.</b>||/img/pic/shmal/small/ProtectF.jpg|/img/pic/shmal/big/ProtectF.jpg
#0|Огнезащитная краска Protect F светло-серая, 20 кг|479|PR.20|3095|3095|3095

# 500|Добавка противоморозная
#1|Добавка противоморозная                         |500|FR.M.ST|235|220|205||norow || "Мономах", канистра 10&nbsp;л|Используется для получения высокоплотных легких и тяжелых бетонов, кладочного раствора, плиточного клея, штукатурки, шпатлевки, грунтовки. Препятствует замерзанию воды в несхватившемся бетоне (растворе), позволяя эффективно и качественно производить строительные и отделочные работы при отрицательных температурах.</span></p><UL><LI>Исключает коррозию стальной арматуры из-за воды, оставшейся в замороженном состоянии внутри конструкции.<LI>Повышает однородность, прочность и морозостойкость материалов.<LI>Сокращает примерно в 3 раза время до распалубки изделий.<LI>Позволяет длительную (до 3 часов) транспортировку раствора.<LI>Снижает расход энергии при перекачивании и уплотнении бетона.<LI>Готова к применению, не имеет резкого запаха, не оказывает вредного воздействия на людей и среду, сохраняет все качества бетонных смесей при температурах как положительных, так и отрицательных и не дает побочных эффектов.<LI>Расход от 1.5 до 5% от массы цемента, в зависимости от температуры применения.<LI><b>Добавка серии «PREMIUM» изготовлена только из импортного сырья, имеет несколько меньший расход и позволяет понизить температуру применения до -25&deg;C.</b></UL><p><span class="addt">||/img/pic/shmal/small/protivimoroz_h.jpg|/img/pic/shmal/big/protivimoroz.png
#0|Добавка противоморозная "Мономах" STANDARD, 10 л|500|FR.M.ST|248|228|218||
#0|Добавка противоморозная "Мономах-2" PREMIUM, 10л|500|FR.M.PR|298|278|258||

# 313|Краски водно-дисперсионные и колера
 1|Колер универсальный                              |313|816     | 39,90| 38,00| 37,00||norow|| KRAFOR (колеровочная паста), флакон 100 мл|</span></p><UL><li>Колер предназначен для колеровки эмалей, водно-дисперсионных и масляных красок, сухих строительных смесей, растворов, побелочных и других составов.<li>Полученная смесь может применяться как внутри, так и снаружи помещений.<li>Можно получить неограниченное количество цветов и оттенков, так как все колера совместимы между собой.</ul><p><span class="addt">||/img/pic/shmal/small/krafor-koler.jpg|/img/pic/shmal/big/krafor-koler.jpg
#0|Колер универсальный алый           100 мл        |313|820     | 39,00| 37,00| 36,00||
 0|Колер универсальный апельсин       100 мл        |313|834     | 39,00| 37,00| 36,00||
 0|Колер универсальный бежевый        100 мл        |313|816     | 39,00| 37,00| 36,00||
 0|Колер универсальный голубой        100 мл        |313|830     | 39,00| 37,00| 36,00||
#0|Колер универсальный жёлтый         100 мл        |313|814     | 39,00| 37,00| 36,00||
 0|Колер универсальный зелёный        100 мл        |313|827     | 39,00| 37,00| 36,00||
 0|Колер универсальный красно-коричн. 100 мл        |313|821     | 39,00| 37,00| 36,00||
#0|Колер универсальный персик         100 мл        |313|818     | 39,00| 37,00| 36,00||
 0|Колер универсальный розовый        100 мл        |313|822     | 39,00| 37,00| 36,00||
#0|Колер универсальный синий          100 мл        |313|831     | 39,00| 37,00| 36,00||
 0|Колер универсальный черный         100 мл        |313|833     | 39,00| 37,00| 36,00||
#1|Краска SUPERWEISS интерьерная супербелая 98%     |313|M.SW.07 |239,00|233,00|225,00||norow|| "Мономах", ведро  7 кг <span class=art>арт. M.SW.07 </span>|Краска водно-дисперсионная акриловая для отделки внутренних и наружных поверхностей.</span></p><UL><li>Обеспечивает снежно-белое, с отражающей способностью до 98%, покрытие поверхностей любого типа, от стеклянных и пластиковых до деревянных, каменных и бетонных.<li>После полного высыхания перестает взаимодействовать с водой и, как следствие, легко переносит мойку даже при использовании сильнодействующих моющих средств.<li>Образует высокопрочную эластичную пленку с «дышащей» поверхностью. Уже через пять-шесть часов после покраски жилые помещения можно использовать в обычном свободном режиме.<li>Не содержит агрессивных химических веществ; не имеет запаха; не токсична; экологически безопасна.</ul><p><span class="addt">||/img/pic/shmal/small/mon-SUPERWEISS.jpg|/img/pic/shmal/big/mon-SUPERWEISS.jpg
#0|Краска SUPERWEISS интерьерная супербелая, 7 кг   |313|M.SW.07 |239,00|233,00|225,00
