# [3ц А Е]
# 45,cat45|Электроды сварочные
#1|Редуктор пропановый  одноступенчатый                  |180|R.PR.53 | 745,00| 725,00| 709,00||norow|Регулятор давления (редуктор) баллонный пропановый  одноступенчатый| БПО-5-3     мини <span class=art>арт. R.PR.53 </span>|Предназначен для нормализации давления пропана, поступающего из баллона, во время проведения газопламенных работ всех видов</span></p><DL><DT>Наибольшая пропускная способность:<DD>5.0 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>2.5 Мпа (25 кГ/кв.см)<DT>Наибольше рабочее давление газа:<DD>0.3 Мпа (3.0 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, <b>i</b>:<DD>не более 0,3<DT>Коэффициент перепада рабочего давления, <b>R</b>:<DD>не более 0,3<DT>Масса комплекта:<DD>0.60 кг<DT>Габаритные размеры:<DD>155 х 100 х  95 мм</DL><p><span class="addt">||/img/pic/eld/small/R_PR_53.jpg|/img/pic/eld/big/R_PR_53.jpg
#0|Редуктор пропановый  одноступенчатый БПО-5-3          |180|R.PR.53 | 745,00| 725,00| 709,00||
#1|Редуктор пропановый  одноступенчатый                  |180|R.PR.54 |1285,00|1245,00|1215,00||norow|Регулятор давления (редуктор) баллонный пропановый  одноступенчатый| БПО-5-4          <span class=art>арт. R.PR.54 </span>|Предназначен для нормализации давления пропана, поступающего из баллона, во время проведения газопламенных работ всех видов</span></p><UL><LI>Отдельный редуцирующий узел с фильтрующим элементом.<LI>Диаметр чувствительного элемента (мембраны) 46 мм</UL><DL><DT>Наибольшая пропускная способность:<DD>5.0 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>2.5 Мпа (25 кГ/кв.см)<DT>Наибольше рабочее давление газа:<DD>0.3 Мпа (3.0 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, <b>i</b>:<DD>не более 0,3<DT>Коэффициент перепада рабочего давления, <b>R</b>:<DD>не более 0,3<DT>Масса комплекта:<DD>0.75 кг<DT>Габаритные размеры:<DD>118 х 165 х 122 мм</DL><p><span class="addt">||/img/pic/eld/small/R_PR_54.jpg|/img/pic/eld/big/R_PR_54.jpg
# 161,cat161|Газовые горелки
#1|Горелка ручная газо-воздушная Krasniy Stakan 0.85     |161|RG.G85  | 348,00| 342,00| 335,00||norow|Горелка ручная газо-воздушная вентильная повышенной прочности| "Krasniy Stakan" 0.85, 850 х 52 мм <span class=art>арт. RG.G85 </span>|</span><span class="for">Предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайки, оплавления битумных рулонных материалов, сушки литейных форм, обжига старой краски, ремонта кабельных линий и т.п. работ.</span></p><DL><DT>Расход:<DD>2,3 куб.м/ч<DT>Номинальная мощность:<DD>60 кВт<DT>Давление пропан-бутана:<DD>0.25 Мпа (2.5 кГ/кв.см)<DT>Диаметр мундштука (стакана):<DD>52 мм<DT>Присоединительные размеры:<DD>Ниппель универсальный 6/9<DT>Масса:<DD> не более 0.7 кг</DL><p><span class="addt">См. также <a href="/img/pic/eld/big/krstak.pdf" target=_blank title="Документ PDF">Паспорт изделия</a>.||/img/pic/eld/small/krstak.jpg|/img/pic/eld/big/krstak.jpg
#0|Горелка ручная газо-воздушная Krasniy Stakan 0.85     |161|RG.G85  | 348,00| 342,00| 335,00||
#1|Горелка ручная газо-воздушная вентильная ГВ-1000      |161|G.D.100 | 598,00| 579,00| 565,00||norow|Горелка ручная газо-воздушная вентильная| ГВ-1000, 1000 х 76 мм <span class=art>арт. G.D.100</span>|</span><span class="for">Для нагрева изделий и заготовок из черных и цветных металлов и их пайки, оплавления битумных рулонных материалов, сушки литейных форм, обжига старой краски, ремонта кабельных линий и т.п. работ.</span></p><UL><LI>Благодаря увеличенному размеру металлического стакана (диаметр 76 мм, длина 160 мм) ГВ-1000 позволяет работать с мощностью 76 кВт.<LI>При давлении 0,25 Мпа расход газа составляет 3 куб.м/час.</UL><p><span class="addt">||/img/pic/eld/small/g_d_100.jpg|/img/pic/eld/big/g_d_100.jpg
 1|Горелка ручная газо-воздушная вентильная ГВ-100       |161|G.D.100 | 598,00| 579,00| 565,00||norow|Горелки ручные газо-воздушные| ГВ-100, 470 х 35 мм|</span><span class="for">Для нагрева изделий и заготовок из черных и цветных металлов и их пайки, оплавления битумных рулонных материалов, сушки литейных форм, обжига старой краски, ремонта кабельных линий и т.п. работ.||/img/pic/eld/small/gv100r.jpg|/img/pic/eld/big/gv100r.jpg
 0|Горелка ручная газо-воздушная вентильная ГВ-100       |161|G.D.100 | 745,00| 733,00| 722,00||
 0|Горелка ручная газо-воздушная рычажная   ГВ-100 Р     |161|G.D.100R| 835,00| 822,00| 815,00||
#1|Горелка ручная газо-воздушная вентильная ГВ-111       |161|G.D.111 | 635,00| 615,00| 598,00||norow|Горелка ручная газо-воздушная вентильная| ГВ-111, 930 х 55 мм <span class=art>арт. G.D.111</span>|</span><span class="for">Предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайки, оплавления битумных рулонных материалов, сушки литейных форм, обжига старой краски, ремонта кабельных линий и т.п. работ.||/img/pic/eld/small/gv111_r.jpg|/img/pic/eld/big/gv111_r.jpg
 1|Горелка ручная газо-воздушная вентильная ГВ-111       |161|G.D.111 | 635,00| 615,00| 598,00||norow|Горелки ручные газо-воздушные| ГВ-111, 930 х 55 мм <span class=art>арт. G.D.111</span>|</span><span class="for">Для нагрева изделий и заготовок из черных и цветных металлов и их пайки, оплавления битумных рулонных материалов, сушки литейных форм, обжига старой краски, ремонта кабельных линий и т.п. работ.||/img/pic/eld/small/gv111_r.jpg|/img/pic/eld/big/gv111_r.jpg
 0|Горелка ручная газо-воздушная вентильная ГВ-111       |161|G.D.111 | 745,00| 733,00| 722,00||
 0|Горелка ручная газо-воздушная рычажная   ГВ-111 Р     |161|G.D.111R| 888,00| 874,00| 864,00||
# 179,cat179|Газовые резаки
 1|Резак газовый пропановый инжекторный                  |179|R.D.2   |1798,00|1777,00|1755,00||norow|| Р3П «Сталь», 500 мм <span class=art>арт. R.D.2</span>|</span><span class="for">Резак пропановый инжекторного типа, вентильный <b>Р3П «Сталь»</b> для ручной кислородной резки, раскроя и разогрева деталей, заготовок, листового и сортового проката из черных металлов - низкоуглеродистых сталей толщиной до 300 мм</span></p><UL><LI>Имеет экономичный расход газа и кислорода.<LI>Смесительная камера собственной разработки гарантирует безопасную эксплуатацию.<LI>Соответствует <b>ГОСТ 5191-79</b>.<LI>Оснащен рукояткой удобной формы из высокопрочного материала.</UL><DL style="max-width: 25em"><DT>Масса:<DD>0,9 кг<DT>Диаметр ниппеля:<DD>9/9 мм<DT>Входное соединение:<DD>М16х1,5</DL><p><span class="addt">||/img/pic/eld/small/rzp_steel_.jpg|/img/pic/eld/big/rzp_steel.jpg
 0|Резак инжекторный пропано-кислородный Р3П «Сталь»     |179|R.D.2   |1978,00|1955,00|1928,00||
#1|Резак газовый пропановый Р3П-02М                      |179|R.D.1   |1845,00|1825,00|1798,00||norow|Резак пропановый| Р3П-02М, 485 мм <span class=art>арт. R.D.1</span>|</span></p><UL><LI>Резак пропановый инжекторного типа Р3П-02М используется для резки, раскроя и разогрева деталей, заготовок, листового и сортового проката из черных металлов - низкоуглеродистых сталей толщиной до 300 мм.<LI>Изготавливается из огнеупорной стали и имеет хорошие показатели устойчивости к обратным ударам.<LI>Резак выполнен разборным и имеет возможность замены ствола (наконечника) в случае его выхода из строя, без замены вентильного блока и рукоятки.Инжектор дает возможность применять горючий газ низкого, среднего или высокого давления, т.е. инжекторное устройство способствует стабильной работе при любом давлении горючего газа.<LI>Резак имеет вентильные регуляторы подачи газа на рукоятке, обеспечивающие плавную регулировку подачи газов.<LI>Небольшой вес (750 г) способствует удобству при проведении сварочных работ</UL><p><span class="addt">||/img/pic/eld/small/rzp02m_r.jpg|/img/pic/eld/big/rzp02m_r.jpg
#0|Резак инжекторный пропано-кислородный Р3П-02М         |179|R.D.1   |1845,00|1825,00|1798,00||
#1|Резак газовый пропановый                              |179|RS-3P   |1795,00|1760,00|1740,00||norow|Резак газовый пропановый| РС-3П <span class=art>арт. RS-3P</span>|Резак газо-кислородный общего назначения РС-3П (пропановый) предназначен для кислородной разделительной резки углеродистых и низколегированных сталей с применением ацетилена и его заменителей (пропана, природного газа). Тип резака - инжекторный.||/img/pic/eld/small/rs3p2.jpg|/img/pic/eld/big/jpg
#0|Резак газовый пропановый RS-3P                        |179|RS-3P   |1795,00|1760,00|1740,00|
# 297,cat297|Комплектующие для газосварки !Газосварочное оборудование и комплектующие
 1|Рукава резиновые для газовой сварки и резки   металлов|297|RU633   |  39,00|  37,00|  36,00||norow||, 3 класс|</span><span class="for">Для подачи под давлением ацетилена, городского газа, пропана, бутана и кислорода к приборам для газовой сварки и резки металлов</span><br><b>Цена за 1 погонный метр</b>.||/img/pic/eld/small/RUKAV ART RU633-RU903.jpg|/img/pic/eld/big/RUKAV ART RU633-RU903.jpg
 0|Рукав 6.3 мм, в бухтах по 50 м, черный с синей полосой|297|RU633.C |  47,98|  46,00|  45,00|
 0|Рукав 9.0 мм, в бухтах по 50 м, черный с синей полосой|297|RU903.C |  55,98|  53,00|  52,00|
#1|Рукав 6.3 мм, 3 кл.                                   |297|RU.63   |  37,00|  35,00|  34,00||norow|Рукава резиновые для газовой сварки и резки металлов|, 3 кл.|Применяются для подачи под давлением ацетилена, городского газа, пропана, бутана и кислорода к приборам для газовой сварки и резки металлов.<br><b>Цена за бухту 40 м</b>.||/img/pic/eld/small/RUKAV ART RU633-RU903.jpg|/img/pic/eld/big/RUKAV ART RU633-RU903.jpg
#0|Рукав 6.3 мм, 3 кл., в бухтах по 40 м                 |297|RU.63   |1598,00|1555,00|1555,00|
#0|Рукав 9.0 мм, 3 кл., в бухтах по 40 м                 |297|RU.90   |1950,00|1910,00|1880,00|

#0|Редуктор пропановый  одноступенчатый БПО-5-4          |180|R.PR.54 |1285,00|1245,00|1215,00||
#1|Горелка ГВК-1                                         |161|RGVK1   | 495,00| 480,00| 470,00||norow|Горелка пропановая газовоздушная, рычажная| ГВК-1, 390 х 150 х 45 <span class=art>арт. RGVK1</span>|Горелка пропаново-воздушная ГВК предназначена для кровельно-гидроизоляционных работ. Горелка безопасна в эксплуатации, имеет высокий КПД благодаря полному смешению горючего газа с воздухом. Обеспечивает стабильный тепловой поток и устойчивое горение факела в условиях ветра.</span></p><UL><LI>Диаметр присоединяемых рукавов 6/9 мм.<LI>Вес 770 г.<LI>Длина 400 мм.</UL><p><span class="addt">||/img/pic/eld/small/RGVK1.jpg|/img/pic/eld/big/RGVK1.jpg
#0|Горелка ГВК-1                                         |161|RGVK1   | 495,00| 480,00| 470,00|
#1|Горелка ГВ-3                                          |161|RGV3    | 555,00| 510,00| 490,00||norow|Горелка пропаново-воздушная| ГВ-3, 890 х  55 х 55 мм<span class=art>арт. RGV3</span>|Горелка пропаново-воздушная ГВ-3 предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайку, оплавления битумных рулонных материалов при кровельных и гидроизоляционных работах, и других видов работ, связанных с применением только пропанового пламени.||/img/pic/eld/small/RGV3.jpg|/img/pic/eld/big/RGV3.jpg
#0|Горелка ГВ-3                                          |161|RGV3    | 555,00| 510,00| 490,00|
#1|Горелка ГВ-3Р                                         |161|RGV3P   | 555,00| 510,00| 490,00||norow|Горелка пропаново-воздушная| ГВ-3Р, 910 х 120 х 55 <span class=art>арт. RGV3P</span>|Горелка пропаново-воздушная ГВ-3 предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайку, оплавления битумных рулонных материалов при кровельных и гидроизоляционных работах, и других видов работ, связанных с применением только пропанового пламени.||/img/pic/eld/small/RGV3P.jpg|/img/pic/eld/big/RGV3P.jpg
#0|Горелка ГВ-3Р                                         |161|RGV3P   | 555,00| 510,00| 490,00|
#1|Горелка ГВК-1-Р                                       |161|GVK|375|365|355||Горелка пропановая газовоздушная, рычажная| ГВК <span class=art>арт. GVK</span>|Горелка пропаново-воздушная ГВК предназначена для кровельно-гидроизоляционных работ. Горелка безопасна в эксплуатации, имеет высокий КПД благодаря полному смешению горючего газа с воздухом. Обеспечивает стабильный тепловой поток и устойчивое горение факела в условиях ветра.</span></p><UL><LI>Диаметр присоединяемых рукавов 6/9 мм.<LI>Вес 770 г.<LI>Длина 400 мм.</UL><p><span class="addt">||/img/pic/eld/small/gvk_1_r.jpg|/img/pic/eld/big/jpg
#1|Горелка ручная газо-воздушная Krasniy Stakan 1,00     |161|G.D.KS  | 498,00| 488,00| 475,00||norow|Горелка ручная газо-воздушная вентильная повышенной прочности| Krasniy Stakan 1,00, 1000 х 76 мм <span class=art>арт. G.D.KS </span>|</span><span class="for">Предназначена для нагрева изделий и заготовок из черных и цветных металлов и их пайки, оплавления битумных рулонных материалов, сушки литейных форм, обжига старой краски, ремонта кабельных линий и т.п. работ.</span></p><DL><DT>Расход:<DD>3 куб.м/ч<DT>Номинальная мощность:<DD>76 кВт<DT>Давление пропан-бутана:<DD>0.25 Мпа (2.5 кГ/кв.см)<DT>Диаметр мундштука (стакана):<DD>76 мм<DT>Присоединительные размеры:<DD>Ниппель универсальный 6/9<DT>Масса:<DD> не более 1.2 кг</DL><p><span class="addt">См. также <a href="/img/pic/eld/big/krstak.pdf" target=_blank title="Документ PDF">Паспорт изделия</a>.||/img/pic/eld/small/krstak.jpg|/img/pic/eld/big/krstak.jpg
#0|Горелка ручная газо-воздушная Krasniy Stakan 1,00     |161|G.D.KS  | 498,00| 488,00| 475,00||
#1|Редуктор пропановый малогабаритный БПО-5-3            |180|BPO.D1 | 665,00| 645,00| 630,00||norow|Редуктор пропановый малогабаритный| БПО-5-3 <span class=art>арт. BPO.D1</span>|</span></p><UL><LI>Предназначен для понижения и регулирования давления газа (пропана), поступающего из баллона, и автоматического поддержания постоянного рабочего давления газа при питании постов и установок газовой сварки, резки, пайки и других технологических процессов.<LI>Редуктор выполнен по осевой схеме, за счет чего обладает компактными размерами при сохранении всех рабочих параметров на уровне крупногабаритных профессиональных редукторов.</UL><DL><DT>Наибольшая пропускная способность:<DD>5,0 куб.м/ч<DT>Наибольшее давление газа на входе:<DD>2,5 МПа (25 кГ/кв.см)<DT>Наибольшее рабочее давление газа:<DD>0,3 МПа (3,0 кГ/кв.см)<DT>Коэффициент неравномерности рабочего давления, i, не более:<DD>0,3<DT>Коэффициент перепада рабочего давления, R, не более:<DD>0,3<DT>Габаритные размеры:<DD>132 х 155 х 50 мм<DT>Присоединительные размеры, вход:<DD>Гайка накидная W21.8-1/14” LH<DT>Присоединительные размеры, выход:<DD>М16х1,5 LH<DT>Масса:<DD>0,87 кг</DL><p><span class="addt">||/img/pic/eld/small/bpo53_r.jpg|/img/pic/eld/big/bpo53_r.jpg
#0|Редуктор пропановый малогабаритный БПО-5-3            |180|BPO.D1 | 665,00| 645,00| 630,00
#1|Редуктор баллонный БПО-5                              |180|BPO5M  | 835,00| 810,00| 790,00||norow|Редуктор баллонный| пропановый БПО-5 мини <span class=art>арт. BPO5</span>|Газовый баллонный редуктор одноступенчатый БПО-5 (регулятор расхода газа) предназначен для понижения давления газа, поступающего из баллона, и автоматического поддержания постоянного заданного рабочего давления при газопламенной обработке. Редуктор соответствует требованиям ГОСТ 13861-89 и ISO 2503 по точности поддержания давления.||/img/pic/eld/small/BPO.jpg|/img/pic/eld/big/BPO.jpg
#0|Редуктор баллонный БПО-5                              |180|BPO5M  | 835,00| 810,00| 790,00|
#1|Редуктор кислородный одноступенчатый                  |180|BKO.D1 |1045,00|1020,00| 990,00||norow|| БКО-50-12,5 <span class=art>арт. BKO.D1</span>|Предназначен для нормализации давления газа, поступающего из баллона, во время проведения газопламенных работ всех видов.</span></p><UL><LI>Пропускная способность: до 50 куб.м/ч<li>рабочее давление: до 1,25 МПа (12,5 кГ/кв.см)</UL><p><span class="addt">||/img/pic/eld/small/BKOD1.jpg|/img/pic/eld/big/BKOD1.jpg
#0|Редуктор кислородный одноступенчатый БКО-50-12,5      |180|BKO.D1 |1045,00|1020,00| 990,00||
#1|Редуктор баллонный БКО-50                             |180|BKO50M |1190,00|1140,00|1095,00||norow|Редуктор баллонный| кислородный БКО-50 мини <span class=art>арт. BKO50</span>|Газовый баллонный редуктор одноступенчатый БКО-50 (регулятор расхода газа) предназначен для понижения давления газа, поступающего из баллона, и автоматического поддержания постоянного заданного рабочего давления при газопламенной обработке. Наличие двух манометров обеспечивает контроль давления на входе и в камере рабочего давления. Редуктор соответствует требованиям ГОСТ 13861-89 и ISO 2503 по точности поддержания давления.||/img/pic/eld/small/BKO.jpg|/img/pic/eld/big/BKO.jpg
#0|Редуктор баллонный БКО-50                             |180|BKO50M |1190,00|1140,00|1095,00|
#1|Рукав 6.3 мм, 3 кл.                                   |297|RU633   |  39,00|  37,00|  36,00||norow|Рукава резиновые для газовой сварки и резки металлов|, 3 кл.|Применяются для подачи под давлением ацетилена, городского газа, пропана, бутана и кислорода к приборам для газовой сварки и резки металлов.<br>Цена за <b>1 м</b>.||/img/pic/eld/small/RUKAV ART RU633-RU903.jpg|/img/pic/eld/big/RUKAV ART RU633-RU903.jpg
#0|Рукав 6.3 мм, в бухтах по 40 м                        |297|RU633   |  39,00|  37,00|  36,00|
#0|Рукав 6.3 мм, в бухтах по 40 м, синий                 |297|RU633.B |  37,00|  35,00|  34,00|
#0|Рукав 6.3 мм, в бухтах по 40 м, черный с синей полосой|297|RU633.C |  38,00|  36,00|  35,00|
#0|Рукав 9.0 мм, в бухтах по 50 м, черный с синей полосой|297|RU9.B50 |  46,00|  43,00|  41,00|
#0|Рукав 9.0 мм, в бухтах по 40 м                        |297|RU903   |  58,00|  53,00|  49,00|
#1|Удлинитель универсальный                              |297|UU      |  89,00|  84,00|  81,00||norow|Удлинитель| универсальный неразъемный <span class=art>арт. UU</span>| ||/img/pic/eld/small/UU.jpg|/img/pic/eld/big/UU.jpg
#0|Удлинитель универсальный                              |297|UU      |  89,00|  84,00|  81,00|
#1|Ниппель                                               |297|NI-616  |  35,00|  33,00|  31,00||norow|| д.6 х 16      <span class=art>арт. NI-616</span>|||/img/pic/eld/small/NI-616.jpg|/img/pic/eld/big/NI-616.jpg
#0|Ниппель                                               |297|NI-616  |  35,00|  33,00|  31,00|
#1|Ниппель                                               |297|NI-UN   |  79,00|  75,00|  72,00||norow|| универсальный <span class=art>арт. NI-UN </span>|||/img/pic/eld/small/NI-UN.jpg|/img/pic/eld/big/NI-UN.jpg
#0|Ниппель                                               |297|NI-UN   |  79,00|  75,00|  72,00|
#1|Прокладка БКО                                         |297|PBKO    |   5,90|   5,60|   5,40||norow|Прокладка для редукторов| БКО <span class=art>арт. PBKO</span>|Прокладка к редукторам БКО используется для обеспечения герметичного подключения редуктора или регулятора к вентилю любого баллона, за исключением пропановых и ацетиленовых.||/img/pic/eld/small/PBKO.jpg|/img/pic/eld/big/jpg
#0|Прокладка БКО                                         |297|PBKO    |   5,90|   5,60|   5,40|
#1|Прокладка БПО                                         |297|PBPO    |   5,90|   5,60|   5,40||norow|Прокладки для редукторов| БПО|Прокладка к редукторам БПО используется для обеспечения герметичного подключения редуктора или регулятора к вентилю пропанового баллона.||/img/pic/eld/small/PBPO.jpg|/img/pic/eld/big/jpg
#0|Прокладка БПО                                         |297|PBPO    |   5,90|   5,60|   5,40|
#0|Прокладка БПО (Редиус)                                |297|P.D.1   |   5,95|   5,80|   5,70|
#1|Прокладка БПО                                         |297|PBPO   |   5,90|   5,60|   5,40||norow|Прокладка для редукторов| БПО <span class=art>арт. PBPO</span>|Прокладка к редукторам БПО используется для обеспечения герметичного подключения редуктора или регулятора к вентилю пропанового баллона.||/img/pic/eld/small/PBPO.jpg|/img/pic/eld/big/jpg

############################
1|Сварочный инвертор|279|TOR200|13950|13550|13300|neat|| ТОРУС-200 <span class=art>арт. TOR200</span>|</span></p><UL><LI>Простой в обращении, легкий и экономичный сварочный инвертор, способный работать даже при нестабильной электрической сети.<LI>Имеет разные режимы работы (MMA и TIG), подходит для самых разных условий сварки.</UL><DL><DT>Питающая сеть:<DD>165 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 30 .. 200 А<DT>Регулировка сварочного тока:<DD>плавная<DT>Потребляемая мощность:<DD>до 5,2 кВт<DT>Диаметр электродов:<DD>1,6 .. 5,0 мм<DT>Вес:<DD>5,3 кг<DT>Габариты:<DD>125 х 190 х 300 мм</DL>||/img/pic/eld/small/TOR200.jpg|/img/pic/eld/big/TOR200.jpg
1|Сварочный инвертор|279|TOR235|14825|14550|14200|neat|| ТОРУС-235 ПРИМА <span class=art>арт. TOR235</span>|</span></p><UL><LI>Профессиональный сварочный инвертор, легкий и экономичный, способный работать даже при нестабильной электрической сети.<LI>Имеет возможность работать непрерывно на максимальных токах как при очень низких, так и при высоких температурах воздуха.</UL><DL><DT>Питающая сеть:<DD>165 .. 242 В, 50 Гц<DT>Ток сварки:<DD>постоянный, 20 .. 235 А<DT>Регулировка сварочного тока:<DD>плавная<DT>Цифровой индикатор тока:<DD>есть<DT>Потребляемая мощность:<DD>до 7,6 кВт<DT>Диаметр электродов:<DD>1,6 .. 5,0 мм<DT>Вес:<DD>5,7 кг<DT>Габариты:<DD>125 х 190 х 300 мм</DL>||/img/pic/eld/small/TOR235.jpg|/img/pic/eld/big/TOR235.jpg
#1|Сварочный аппарат (инвертер)|279|FORWARD-200-IGBT|5580|5580||neat|| FORWARD 200 IGBT|</span></p><UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>10-200 А<DT>Потребляемая мощность:<DD>8,2 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Кейс<DT>Вес:<DD>9,3 кг</DL>||/img/pic/eld/small/forward_201_igbt.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-201-IGBT|6550|6350|6250|neat|| FORWARD 201 IGBT <span class=art>арт. FD-201-IGBT</span>|</span></p><UL><LI>Сварочный аппарат для дуговой сварки, сварки ММА при постоянном токе</UL><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>10-200 А<DT>Потребляемая мощность:<DD>8,2 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Кейс<DT>Вес:<DD>9,3 кг</DL>||/img/pic/eld/small/forward_201_igbt.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-220-MOS |6550|6550||neat|| FORWARD 220 MOS |</span></p><UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><table style=width:100%><tr><td><td style=min-width:8em><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>20-220 А<DT>Потребляемая мощность:<DD>7,1 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Коробка<DT>Вес:<DD>9,3 кг</DL><td></table>||/img/pic/eld/small/forward_220_mos.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-220-MOS |6550|6550||neat|| FORWARD 220 MOS |</span></p><UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><table style=width:100%><tr><td style=width:30%;><td style=min-width:8em><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>20-220 А<DT>Потребляемая мощность:<DD>7,1 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Коробка<DT>Вес:<DD>9,3 кг</DL><td style=width:30%;></table>||/img/pic/eld/small/forward_220_mos.jpg|/img/pic/eld/big/
#1|Сварочный аппарат (инвертер)|279|FORWARD-221-MOS |6590|6390||neat|| FORWARD 221 MOS <span class=art>арт. FD-221-MOS</span>|</span></p><UL><LI>Сварочный аппарат для дуговой сварки при постоянном токе</UL><table style=width:100%><tr><td style=width:30%;><td style=min-width:16em><DL><DT>Напряжение питания:<DD>220 В<DT>Ток сварки:<DD>10-220 А<DT>Потребляемая мощность:<DD>7,1 кВт<DT>Диаметр электродов:<DD>1,6 - 4,0 мм<DT>Упаковка:<DD>Коробка<DT>Вес:<DD>9,3 кг</DL><td style=width:30%;></table>||/img/pic/eld/small/forward_220_mos.jpg|/img/pic/eld/big/

1|Держатель электродов Н026В|217|SD02|285|265|255||Держатель электродов| Н026В, медь, 500А <span class=art>арт. SD02</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455.jpg|/img/pic/eld/big/jpg
1|Зажим "масса" для сварочного аппарата Н-031-В|217|SMA01|195|185|178||Зажим "масса" для сварочного аппарата| Н-031-В, медь, 500А <span class=art>арт. SMA01</span>|||/img/pic/eld/small/mass.jpg|/img/pic/eld/big/jpg
1|Кабельный силовой разъем (вставка) СКР-25, ток до 250 А|217|VS25|195|185|178||Кабельный силовой разъем| (вставка)|Cоединители кабельные разъемные для сварки с фиксирующим устройством предназначены для надежного и безопасного присоединения кабелей друг с другом или к источнику питания.<br><b>Цена за пару.</b>||/img/pic/eld/small/VS25-31.jpg|/img/pic/eld/big/VS25-31.jpg
0|Кабельный силовой разъем (вставка) СКР-31, ток до 400 А|217|VS31|285|270|260
1|Комплект сварочных проводов|217|KSP1|1180|1140|1090||Комплект сварочных проводов| № 1 <span class=art>арт. KSP1</span>|</span></p><UL><LI>Кабели КГ-16, 2 шт. по 3 м<LI>Кабельный силовой разъем (вставка) СКР-25<LI>Электрододержатель<LI>Клемма заземления ("масса")</UL><p><span class="addt">||/img/pic/eld/small/KSP1-KSP2.jpg|/img/pic/eld/big/KSP1-KSP2.jpg
1|Комплект сварочных проводов|217|KSP2|1595|1540|1490||Комплект сварочных проводов| № 2 <span class=art>арт. KSP2</span>|</span></p><UL><LI>Кабели КГ-25, 2 шт. по 3 м<LI>Кабельный силовой разъем (вставка) СКР-31<LI>Электрододержатель<LI>Клемма заземления ("масса")</UL><p><span class="addt">||/img/pic/eld/small/KSP1-KSP2.jpg|/img/pic/eld/big/KSP1-KSP2.jpg
#1|Держатель электродов 500 А SiB|217|91455|99.00||94||Держатель электродов 500 А| SiB <span class=art>арт. 91455</span>|Держатель электродов предназначен для зажима и удержания электродов. Пластмассовые ручки выполняют роль изолятора.||/img/pic/eld/small/91455.jpg|/img/pic/eld/big/jpg

